GAIRLOCH (BADACHRO),,,,,,,,,,,,
Grid ref,NG778737,Long,-5.730498,Lat,57.698031,,,,,,,
Station no,5784/9/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,6.56,3.90,4.66,3.34,5.23,7.58,6.16,6.51,3.60,,
February,,3.05,4.09,4.57,3.51,3.66,3.29,3.43,2.27,3.82,,
March,,3.63,2.47,4.12,1.33,1.47,3.91,2.11,2.26,0.93,,
April,,3.25,5.06,1.82,3.00,2.51,2.78,3.02,4.83,3.96,,
May,,3.25,3.67,3.38,2.87,4.34,1.69,4.89,1.15,2.03,,
June,,4.19,1.64,4.50,3.19,2.67,2.83,1.39,3.43,4.69,,
July,,3.79,5.91,3.59,1.24,5.63,3.51,2.49,7.35,3.26,,
August,,4.79,6.69,2.85,0.94,4.37,6.24,3.56,5.35,3.23,,
September,,6.46,5.24,5.96,7.75,3.17,3.63,3.37,3.45,3.74,,
October,,5.86,5.53,9.01,7.72,5.84,6.21,6.85,7.63,1.65,,
November,,5.44,13.58,6.66,2.52,5.52,3.47,2.70,6.04,4.63,,
December,,6.49,5.28,6.26,6.34,7.56,6.70,2.45,7.99,8.55,,
Total,,56.76,63.06,57.38,43.75,51.97,51.84,42.42,58.26,44.09,,
Calc annual,0.00,56.76,63.06,57.38,43.75,51.97,51.84,42.42,58.26,44.09,,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,,
