ACKLINGTON BROOMHILL COLLIERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NU247010,Long,-1.612497,Lat,55.302486,Elevation,92,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,3.01,0.94,0.91,1.42,4.45,1.21,1.94,0.56,1.85,2.74,1.43,0.78,3.71,2.42,0.55,1.91,0.63,1.3,1.14,2.29,2.06,2.9,2.8,2.01,2.58,1.03,2.4,2.46,,1.36,4.23,1.94,1.59,2,0.78,2.1,1.03,2.06,2.45,3.06,3.04,1.25,1.56,1.74,2.18,4.2,3.25,2.79,4.58,2.06,2.84,3.63,2.82,0.93,4.02,1.15,3.24,8.87,0.86,1.75,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,0.16,1.8,2.35,2.54,1.14,0.38,0.92,0.84,1.33,4.28,1.72,1.47,1.17,1.75,0.88,0.96,0.58,1.62,1.78,2.58,0.78,2.5,0.53,1.25,2.61,1.78,1.09,1.01,,1.33,0.17,2.06,2.85,0.88,2.73,2.61,0.84,0.67,1.15,0.77,1.01,0.46,2.39,0.42,1.66,3.21,3.28,0.73,0.94,2.28,5.23,1.87,0.65,1.52,1.59,0.29,0.35,1.64,0.61,5.69,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,2.53,1.2,0.43,0.69,2.53,2.22,2.86,1.16,1.48,1.56,1.7,0.84,1.28,1.29,1.41,0.96,0.87,2.58,5.29,0.69,2.32,1.8,2.73,2.71,2.23,3.31,1.37,1.04,,2.75,0.87,2.43,1.13,0.69,1.05,0.5,1.75,2.32,0.12,1.66,0.56,2.55,1.48,2.75,1.41,2.16,5.79,0.48,2.32,2.72,3.4,0.68,0.87,0.78,0.35,0.88,6,0.25,1.27,1.42,4.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,0.63,0.71,0.44,0.94,0.96,0.7,1.47,2.65,2.46,1.02,1.06,1.24,1.43,1.41,2.27,0.63,1.36,1.67,2.55,1.83,1.25,0.1,2.78,0.48,0.33,1.47,2.22,0.81,,3.3,,1.98,0.99,1.52,3.7,1.7,1.6,1.46,1.49,2.11,2.93,1.52,2.12,5.38,3.86,1.27,2.38,0.28,0.92,0.81,1.17,1.27,1.15,2.9,1.92,0.95,6.12,2.86,0.74,2.44,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,1.86,2.87,0.89,3.11,0.48,0.91,1.16,1.1,3.03,1.11,3.29,2.6,1.53,2.56,0.9,5.45,3.83,1.87,2.29,2.27,0.68,2.18,2.78,1.71,1.61,2.78,1.8,2.77,,3.07,,0.92,1.99,6.13,1.98,2.06,1.93,1.14,1.61,1.35,2.82,3.82,0.87,0.88,1.39,1.5,4.33,2.79,0.97,0.84,1.5,1.31,2.49,3.07,3.24,1.59,3.15,1.44,1.19,2.36,5.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,0.53,3.29,0.94,2.44,2.34,2.16,3.33,1.71,2.05,3.7,1.24,2.47,1.64,2.58,0.7,1.65,3.48,0.6,1.94,0.8,5.13,5.18,2.25,2.47,0.56,1.91,1.36,0.21,,0.93,,1.85,0.6,2.07,0.03,2.61,3.23,4.13,2.22,0.46,3.13,1.06,1.55,1.37,2.24,2.61,2.5,2.83,2.03,0.78,0.74,1.36,1.39,2.37,2.28,1.4,1.33,3.74,0.76,2.26,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,1.91,1.47,1.99,1.36,5.64,2.1,2.19,0.76,2.89,2.57,1.76,2.66,4.48,0.94,0.85,1.91,1.17,2.11,2.52,2.55,0.9,3.39,0.3,2.52,3.56,3.14,0.89,3.83,,3.27,,4.06,1.48,4.2,2.11,4.44,2.28,1.1,4.06,3.89,3.34,2.47,2.71,2.36,0.53,3.23,2.62,2.72,1.76,7.29,1.97,3.86,1.9,2.7,1.67,3.51,2.47,1.76,2.11,3.36,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,3.88,3.6,1.63,2.19,2.68,1.99,3.04,1.89,1.09,4.84,2.39,1.35,3.01,2.5,3,3.07,2.36,2.15,2.68,3.36,2.17,4.81,0.74,1.39,3.28,2.79,6.38,0.98,,2.16,2.35,1.73,3,2.94,2.97,1.98,3.31,3.09,3.48,3.9,2.42,1.76,2.41,2.6,1.85,1.89,2.65,2.3,2.4,1.17,3.63,2.56,3.14,2.04,2.8,6.02,0,6.78,2.36,5.43,3.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,2.76,2.26,1.59,0.81,0.48,2.87,2.86,0.77,2.26,0.6,1.01,0.83,2.24,0.57,1.11,0.41,0.44,1.66,2.19,1.36,2.18,2.12,3.15,1.33,2.5,1.51,1.18,5.02,,1.75,1.25,2.79,1.55,2.55,3.8,2.67,3.51,0.91,1.12,2.01,1.95,3.7,1.78,1.62,3.26,3.33,1.64,1.92,1.36,2.27,0.64,2.61,3.02,5.36,1.41,5.49,1.39,2.84,0.92,4.97,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,2.41,4.26,0.8,4.74,5.38,6.34,1.58,3.14,1.42,5.97,1.55,2.17,7.09,0.7,2.75,4.46,5.56,1.42,2.35,2.9,2.91,3.64,1.01,2.08,1.68,2.88,1.86,2.49,,2.38,2.95,1.97,1.79,3.31,1.71,3.23,1.24,2.6,2.73,2.34,1,4.47,4.51,3.79,3.82,1.52,2.66,3.19,3.87,2.8,4.3,2.15,2.02,2.88,3.23,1.17,0.4,1.69,4.91,1.24,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
