"ACKLINGTON, BROOMHILL COLLIERY",,,,,,,,,,,,
Grid ref,NU247010,Long,-1.612497,Lat,55.302486,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.74,1.43,0.78,3.71,2.42,0.55,1.91,0.63,1.30,1.14,,
February,4.28,1.72,1.47,1.17,1.75,0.88,0.96,0.58,1.62,1.78,,
March,1.56,1.70,0.84,1.28,1.29,1.41,0.96,0.87,2.58,5.29,,
April,1.02,1.06,1.24,1.43,1.41,2.27,0.63,1.36,1.67,2.55,,
May,1.11,3.29,2.60,1.53,2.56,0.90,5.45,3.83,1.87,2.29,,
June,3.70,1.24,2.47,1.64,2.58,0.70,1.65,3.48,0.60,1.94,,
July,2.57,1.76,2.66,4.48,0.94,0.85,1.91,1.17,2.11,2.52,,
August,4.84,2.39,1.35,3.01,2.50,3.00,3.07,2.36,2.15,2.68,,
September,0.60,1.01,0.83,2.24,0.57,1.11,0.41,0.44,1.66,2.19,,
October,5.97,1.55,2.17,7.09,0.70,2.75,4.46,5.56,1.42,2.35,,
November,3.16,3.74,1.26,1.22,3.13,3.95,2.00,1.67,1.08,0.65,,
December,1.53,3.38,3.40,3.04,1.76,0.40,2.01,3.41,1.46,3.56,,
Total,33.08,24.27,21.07,31.84,21.61,18.77,25.42,25.36,19.52,28.94,,
Calc annual,33.08,24.27,21.07,31.84,21.61,18.77,25.42,25.36,19.52,28.94,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
