LONG LOCH RESERVOIR (SOUTH END),,,,,,,,,,,,
Grid ref,NS472518,Long,-4.435146,Lat,55.735418,,,,,,,
Station no,5277/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,2.80,5.84,6.25,2.50,4.08,,
February,,,,,,1.85,3.25,3.70,3.50,5.10,,
March,,,,,,3.03,5.90,1.55,4.00,1.90,,
April,,,,,,1.70,3.45,2.25,3.25,4.90,,
May,,,,,5.35,3.80,2.90,3.85,1.50,2.40,,
June,,,,,4.15,3.25,3.40,3.35,4.05,2.80,,
July,,,,,1.15,5.00,4.50,5.80,6.30,4.65,,
August,,,,,1.60,5.90,4.80,6.00,1.55,3.40,,
September,,,,,6.01,5.50,4.50,6.25,1.75,4.30,,
October,,,,,3.95,5.50,6.15,4.70,8.01,3.25,,
November,,,,,2.35,4.50,3.20,2.25,6.05,7.30,,
December,,,,,8.15,6.55,5.85,6.85,8.80,7.10,,
Total,,,,,,49.38,53.74,52.80,51.26,51.18,,
Calc annual,0.00,0.00,0.00,0.00,32.71,49.38,53.74,52.80,51.26,51.18,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,-0.00,0.00,,
