CUPAR (SUGAR FACTORY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO388152,Long,-2.991186,Lat,56.325215,Elevation,82,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5495/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,4.65,1.67,3.19,3.51,3.54,1.39,3.33,1.71,4.33,5.17,1.11,0.89,3.42,1.03,0.45,1.81,1.76,2.13,3.52,2.1,0.89,3.5
February,,,,,,,,,2.45,0.99,4.4,1.47,0.9,0.56,2.12,0.82,1.9,2.31,1.46,2.23,3.31,0.88,0.62,2.57,2.48,1.29,3.87,2.74,0.43,2.51
March,,,,,,,,,2.29,3.05,2.45,1.81,0.66,0.34,1.03,2.37,3.8,0.59,1.37,2.43,2.92,2.22,0.5,3.31,2.41,1.13,1.48,3.39,1.57,1.7
April,,,,,,,,,1.39,1.31,1.87,1.41,1.24,2.12,1.23,0.24,2.77,1.48,0.97,1.12,2.42,1.16,2.79,1.59,0.66,0.83,0.49,1.89,2.61,2.14
May,,,,,,,,,1.51,1.45,2.58,3.19,3.49,2.02,4.49,1.89,4.44,2.66,1.74,1.95,2.02,2.21,1.8,4.6,2.07,0.71,1.36,2.32,0.58,1.87
June,,,,,,,,,1.39,0.44,1.15,0.93,1.81,2.27,2.09,2.54,2.23,3.9,1.07,2.19,1.71,2.55,0.97,2.47,0.92,2.8,0.89,2.57,2.24,1.59
July,,,,,,,,,3.77,6.45,2.05,2.46,2.13,3.12,3.52,4.1,2.41,2.38,1.88,4.5,3.91,1.13,3.9,1.62,1.25,3.9,5.06,5.3,3.2,3.7
August,,,,,,,,,1.2,1.16,2.65,1.91,4.62,2.28,2.97,3.41,0.2,6.59,3.28,2.91,3.27,3.39,1.77,2.73,0.33,7.63,3.43,3.58,0.59,4.46
September,,,,,,,,,1.81,2.02,1.12,2.38,2.49,3.11,3.1,2.99,2.22,2.67,1.11,5.56,1.47,1.35,2.59,2.14,1.08,3.84,1.35,1.91,0.56,1.46
October,,,,,,,,4.21,4.04,3.8,2.81,1.9,2.85,3.77,4.28,0.51,1.22,2.7,4.54,1.59,0.17,2.97,1.62,5.9,1.7,1.47,1.91,1.58,1.41,6.22
November,,,,,,,,3.08,4.44,4.55,3,0.44,1.01,4.63,1.03,6.35,1.53,1.34,2.97,3.64,7.58,2.49,2.88,4.84,1.41,0.61,1.84,0.64,6.13,3.59
December,,,,,,,,2.59,1.1,1.74,1.17,1.92,1.45,3.01,3.38,2.89,1.19,3.19,2.37,2.21,2.51,2.33,3.01,3.35,4.61,3.04,3.72,4.99,5.43,2.02
Total,,,,,,,,,30.04,28.63,28.44,23.33,26.19,28.62,32.57,29.82,28.24,34.98,23.87,31.22,34.71,23.71,22.9,36.93,20.68,29.38,28.92,33.01,25.64,34.76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960 Sep Estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5495/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,884468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
