SHEEPSTON HEAD WEIR,,,,,,,,,,,,
Grid ref,SX553687,Long,-4.041684,Lat,50.500177,,,,,,,
Station no,1645,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,8.80,3.97,2.93,5.38,10.77,3.09,11.17,2.94,3.67,2.81,,
February,9.34,1.89,2.35,3.57,10.03,2.10,6.23,3.57,4.16,0.83,,
March,2.76,2.95,3.84,6.26,3.13,7.83,2.57,2.17,6.15,8.14,,
April,2.70,4.78,2.86,2.04,3.31,4.51,1.66,9.60,3.71,4.14,,
May,2.88,2.48,1.80,2.60,5.17,1.00,6.03,4.89,3.51,1.89,,
June,6.12,2.66,2.54,1.32,2.07,3.00,2.04,5.43,1.21,2.99,,
July,2.37,1.72,2.72,4.66,7.30,1.17,2.21,3.03,4.49,5.78,,
August,4.46,5.17,4.17,4.89,4.30,6.12,4.83,3.76,5.62,3.10,,
September,2.88,4.64,1.84,4.62,4.40,2.51,1.96,2.06,3.17,1.86,,
October,4.50,4.11,4.02,11.17,3.16,3.18,9.46,10.68,2.89,12.19,,
November,6.32,0.94,7.20,2.51,3.15,9.10,4.84,5.46,3.38,2.01,,
December,9.84,8.83,5.63,7.78,6.60,3.05,4.80,8.78,6.61,8.97,,
Total,62.97,44.14,41.90,56.80,63.39,46.66,57.80,62.37,48.57,54.71,,
Calc annual,62.97,44.14,41.90,56.80,63.39,46.66,57.80,62.37,48.57,54.71,,
Difference,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,,
