SHEEPSTOR HEAD WEIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX553687,Long,-4.041684,Lat,50.500177,Elevation,730,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,
January,,,,10.45,9.8,10.53,4.29,12.25,3.43,6.76,1.39,2.91,2.82,6.7,7.99,4.16,5.23,5.36,2.47,1.99,7.46,5.52,3.07,4.4,7.12,6.41,2.87,4.62,1.77,9.11,8.8,3.97,2.93,5.38,10.77,3.09,11.17,2.94,3.67,2.81,6.76,2.32,4.98,10.76,2.85,6.05,4.86,3.29,5.91,9.45,13.08,8.76,8.55,4.84,8.67,7.76,10.02,9.11,12.11,3.7,11.84,6.13,9.2,4,7.3,1.83,8.79,9.36,7.93,8.83,3.52,3.8,7.15,11.34,6.36,4.18,7.36,6.56,12.92,3,2.39,7.83,6.74,1.9,3.1,7.81,6.81,7.03,7.18,9.21,6.59,,,,,,,,,
February,,,,4.45,4.06,3.27,8.82,3.15,2.91,6.97,6.39,5.21,2.74,8.64,7.87,8.73,2.24,2.1,0.69,3.7,1.73,0.16,4.45,9.15,5.16,0.17,1.39,5.92,2.96,5.66,9.34,1.89,2.35,3.57,10.03,2.1,6.23,3.57,4.16,0.83,7.69,3.96,6.25,2.17,9.97,12.14,8.8,2.04,5.54,6.97,1.91,0.45,7.25,13.53,3.09,7.89,5.47,5.27,5.39,2.66,2.61,5.6,0.06,5.97,0.44,7.11,5.26,10.19,2.31,4.42,6.75,7.97,0.86,3.35,2.17,5.57,5.86,2.3,3.21,2.91,9.67,7,1.21,2.3,7,3.88,0.33,8.42,6.09,0.37,6.81,,,,,,,,,
March,,,,7.11,2.88,2.72,4.98,3.77,2.56,1.05,1.97,6.26,2.3,1.93,5.11,1.82,6.5,2.56,6.56,7.06,2.23,2.81,1.62,0.49,4.05,5.32,6.74,7.27,2.42,1,2.76,2.95,3.84,6.26,3.13,7.83,2.57,2.17,6.15,8.14,1.41,3.98,9.12,6.94,10.67,1.76,3.9,4.18,3.67,8.26,6.46,4.93,5.61,3.88,2.97,1.03,1.37,6.99,8.26,0.92,3.83,1.86,3.72,7.04,5.08,1.45,5.26,5.78,0.75,2.83,4.63,5.44,5.67,1.66,0.22,2.47,3.29,10.62,3.24,2.22,4.94,7.31,6.71,1.27,6.48,2.23,2.58,7.44,2.39,8.6,4.83,,,,,,,,,
April,,,,1.17,4.15,2.2,6.48,8,5.95,3.43,5.49,0.9,5.05,2.07,3.05,4.71,3.1,2.53,2.39,2.56,2.91,1.56,1.68,0.63,4.67,5.04,0.95,5.13,3.22,4.78,2.7,4.78,2.86,2.04,3.31,4.51,1.66,9.6,3.71,4.14,4.56,3.22,0.41,6.42,2.86,2.14,2.67,2.27,1.88,3.82,6.79,1.2,5.34,5.06,6.27,4.45,3.38,3.09,2.5,0.92,5.43,4.11,4.33,4.91,4.47,6.57,3.02,4.12,0.15,4,3.71,1.25,3.75,1.94,3.59,1.69,2.73,4.9,3.53,3.58,4.1,3.39,5.84,4.32,0.77,2.84,1.57,0.49,1.56,5.85,4.84,,,,,,,,,
May,,,,3.72,0.97,3.71,0.96,4.46,8.07,4.51,0.86,2.4,1.7,3.2,2.46,3.94,2.95,2.42,3.01,3.17,2.76,4.13,2.26,2.87,4.72,1.24,0.13,2.59,4.23,3.94,2.88,2.48,1.8,2.6,5.17,1,6.03,4.89,3.51,1.89,3.5,1.58,2.16,4.88,3.27,3.38,2.17,2.38,2,2.45,3.32,3.82,2.54,4.29,6.75,6.63,2.97,0.8,1.83,5.47,3.87,3.93,6.26,2.19,2.51,3.17,0.63,3.52,4.22,1.24,2.41,3.72,8.79,5.52,1.04,4.53,5.55,3.75,3.49,4.3,2.62,3.79,3.31,5.95,5.18,5.89,1.67,3.33,5.94,2.29,2.57,,,,,,,,,
June,,,,4.46,2.1,4.87,1.8,3.84,5.25,9.93,3.4,5.64,4.44,5.9,0.81,3.24,2.22,0.72,3.45,1.02,5.71,2.87,2.83,1.27,3.11,2.21,2.52,3.05,2.9,1.97,6.12,2.66,2.54,1.32,2.07,3,2.04,5.43,1.21,2.99,2.47,3.25,7.29,2.17,2.2,2.37,4.1,3.37,2.76,1.4,2.76,0.15,2.17,1.06,3.95,0.03,4.76,4.71,4.45,3.33,2.54,6.51,4.92,2.79,2.53,6.56,2.08,2.14,2.34,4.58,1.01,3.23,0.63,2.85,5.15,6.99,6.16,4.38,3.55,1.41,2.17,2.11,3.12,4.97,6.02,4.13,4.07,2.4,5.42,2.18,3.19,,,,,,,,,
July,,,,5.31,3.02,5.33,3.71,6.62,2.29,8.35,5.26,3.35,8.53,4.45,6.04,1.19,6.82,3.62,9.87,5.6,7.96,5.62,1.73,5.87,4.99,5.96,3.8,1.61,0.6,1.8,2.37,1.72,2.72,4.66,7.3,1.17,2.21,3.03,4.49,5.78,4.6,1.23,3.27,0.66,7.39,5.97,2.13,3.68,5.51,2.47,7.95,2.82,7.66,2.02,7.37,5.01,2.56,7.38,2.82,3.38,4.46,6.74,5.53,4.56,1.2,1.21,10.83,4.08,4.55,11.44,4.87,2.01,4.22,4.07,5.93,4.49,3.28,4.48,3.4,3.57,7.36,2.87,2.04,6.23,5.86,2.75,6.25,7.24,6.67,2.51,7.26,,,,,,,,,
August,,,,9.04,5,3.29,6.18,8.64,8.25,8.91,0.83,8.8,3.95,2.51,1.68,1.75,4.71,2.34,4.57,6.86,4.64,13.39,5.68,2.6,4.12,5.74,3.12,7.4,4.74,1.85,4.46,5.17,4.17,4.89,4.3,6.12,4.83,3.76,5.62,3.1,7.59,3.92,12.01,1.74,4.77,2.67,5.08,8.28,3.76,4.84,2.86,4.61,6.37,5.62,7.83,6.08,3.76,5.04,3.09,5.91,6.22,5.31,1.56,3.82,5.6,2.62,1.25,1.12,5.95,5.62,0.3,7.1,6.69,5.16,5.02,3.48,7.49,1.16,6.52,3.01,9.25,9.59,6.59,4.2,5.84,0.37,5.75,5.61,8.39,2.36,5.4,,,,,,,,,
September,,,,5.06,8.73,6.37,9.49,4,3.88,6.19,6.12,2.23,6.84,8.49,4.74,7.02,4.75,5.29,1.45,2.37,1.45,5.86,4.47,3.97,3.68,0.81,8.64,4.78,2.93,2.34,2.88,4.64,1.84,4.62,4.4,2.51,1.96,2.06,3.17,1.86,0.51,3.07,1.84,4.69,3.94,1.64,3.08,3.86,10.72,3.98,3.62,1.66,5.64,5.47,7.19,7.46,1.65,9.15,1.61,1.17,7.14,3.29,7.67,2.17,5.75,7.71,3.83,4.61,2.81,0.57,3.04,0.68,5.75,6.01,4.31,4.23,10.25,3.66,5.21,4.32,10.24,8.06,4.53,5.98,7.69,3.23,9.64,7.02,9.26,0.3,9.25,,,,,,,,,
October,,,,3.4,10.29,6.49,8.21,6.37,6.48,3.43,6.47,4.57,7.22,6.76,3.61,8.62,10.12,3.83,2.9,6.18,3.1,16.41,7.81,4.79,7.74,5.16,5.57,2.08,7.77,5.11,4.5,4.11,4.02,11.17,3.16,3.18,9.46,10.68,2.89,12.19,7.67,5.1,7.16,4.97,3.59,5.99,10.5,9.75,4.86,3.32,6.17,2.07,2.65,10.46,9.64,8.7,3.86,5.5,10.62,10.59,8.04,1.74,11.94,5.53,6.25,9.66,2.67,4.71,8.75,5.86,6.54,1.89,5.53,6.57,9.47,7.49,4.19,2.79,7.08,11.46,3.03,1.6,7.62,5.91,7.1,4.59,3.73,5.06,6.85,7.3,10.71,,,,,,,,,
November,,,,6.69,7.22,7.12,5.99,11.27,4.63,0.06,5.72,6.16,7.53,5.8,3.04,7.65,5.23,5.42,12.44,5.78,7.5,6.54,5.23,3.37,10.73,10.72,2.23,3.2,5.31,5.35,6.32,0.94,7.2,2.51,3.15,9.1,4.84,5.46,3.38,2.01,7.14,6.54,4.87,7.37,6.71,4.68,10.01,3.59,6.01,5.52,4.55,5.33,4.36,5.3,6.75,5.45,13.51,6.86,9.19,20.24,9.14,10.99,4.43,2.08,2.76,10.27,5.62,3.45,11.39,13.15,13.32,3.82,1.39,4.4,13.36,1.24,11.73,5.72,4.15,8.18,10.89,9.92,5.09,5,12.69,7.19,2.61,3.49,4.96,11.26,11.15,,,,,,,,,
