SHEEPSTOR (HEAD WEIR),,,,,,,,,,,,
Grid ref,SX553687,Long,-4.041684,Lat,50.500177,,,,,,,
Station no,1645,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.83,6.74,1.90,3.10,7.81,6.81,7.03,7.18,9.21,6.59,,
February,7.00,1.21,2.30,7.00,3.88,0.33,8.42,6.09,0.37,6.81,,
March,7.31,6.71,1.27,6.48,2.23,2.58,7.44,2.39,8.60,4.83,,
April,3.39,5.84,4.32,0.77,2.84,1.57,0.49,1.56,5.85,4.84,,
May,3.79,3.31,5.95,5.18,5.89,1.67,3.33,5.94,2.29,2.57,,
June,2.11,3.12,4.97,6.02,4.13,4.07,2.40,5.42,2.18,3.19,,
July,2.87,2.04,6.23,5.86,2.75,6.25,7.24,6.67,2.51,7.26,,
August,9.59,6.59,4.20,5.84,0.37,5.75,5.61,8.39,2.36,5.40,,
September,8.06,4.53,5.98,7.69,3.23,9.64,7.02,9.26,0.30,9.25,,
October,1.60,7.62,5.91,7.10,4.59,3.73,5.06,6.85,7.30,10.71,,
November,9.92,5.09,5.00,12.69,7.19,2.61,3.49,4.96,11.26,11.15,,
December,6.47,6.19,1.27,6.22,9.90,8.90,5.77,7.21,13.40,6.80,,
Total,69.94,58.99,49.30,73.95,54.81,53.91,63.30,71.92,65.63,79.40,,
Calc annual,69.94,58.99,49.30,73.95,54.81,53.91,63.30,71.92,65.63,79.40,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
