GOLLANFIELD HOUSE,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH 80868 53417,Long,-3.99259,Lat,57.55507,Elevation,80,ft,,,,,,,,,,,,,
Station no,RR8215,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,1.68,2.82,3.19,1.97,2.53,1.41,1.82,1.98,2.21,,,
February,,,,,,,,,,1,2.68,0.59,2.38,1.44,1.33,3.6,1.13,0.93,,,
March,,,,,,,,,,1.7,1.86,1.64,1.56,0.56,1.11,1.74,2.32,1.57,,,
April,,,,,,,,,,2.28,1.86,0.6,2.74,2.19,0.61,1.65,1.5,1.73,,,
May,,,,,,,,,,0.24,1.93,2.87,2.07,2.87,3.01,2.46,2.13,2.34,,,
June,,,,,,,,,,1.89,0.62,0.62,1.02,0.76,2.35,0.57,1.58,3.35,,,
July,,,,,,,,,,0.43,2.61,2.25,2.63,2.92,3.43,2,1.85,2.18,,,
August,,,,,,,,,,2.46,2.94,2.4,2.83,5.34,4.57,1.11,1.56,3.13,,,
September,,,,,,,,,,2.23,2.45,1.27,1.94,2.54,4.28,4.11,2.48,3.86,,,
October,,,,,,,,,,2.93,0.61,2.36,1.81,3.04,3.36,1.78,3.66,4.13,,,
November,,,,,,,,,,4.88,1.3,1,1.44,2.03,1.04,0.57,2.44,2.17,,,
December,,,,,,,,,,2.4,1.19,3.89,1.48,2.27,2.98,2.19,1.63,1.2,,,
Total,,,,,,,,,,24.12,22.87,22.68,23.87,28.49,29.48,23.6,24.26,28.8,,,
,,,,,,,,,,,,,,,,,,,,,
BR 1924 P Feb Mar Adjusted,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Station no,RR8215,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,
Hyd stn,,,,,,,,,,,,,,,,,,,,,
