"ECCLEFECHAN, BURNFOOT",,,,,,,,,,,,
Grid ref,NY206747,Long,-3.244636,Lat,55.060407,,,,,,,
Station no,RR4076,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.29,2.48,2.58,4.20,3.01,,4.57,1.78,4.12,3.51,,
February,3.61,1.35,1.73,3.94,2.63,,1.82,2.65,2.84,1.77,,
March,0.34,1.99,2.18,6.62,3.65,,2.50,3.42,3.98,3.53,,
April,2.99,3.31,2.18,1.65,4.34,,1.26,2.40,1.63,3.61,,
May,3.22,2.38,2.22,3.20,2.85,,6.04,4.35,3.97,2.29,,
June,4.92,3.07,2.01,1.65,3.10,,2.14,7.23,2.62,2.97,,
July,2.97,1.42,3.05,4.83,1.25,,3.81,2.77,3.84,5.18,,
August,5.55,5.55,3.58,6.51,4.09,,7.48,6.41,5.04,3.04,,
September,2.54,1.94,1.99,4.42,1.86,,1.38,0.79,5.55,2.45,,
October,5.19,5.26,2.72,8.29,2.64,,4.09,6.56,3.77,8.10,,
November,4.39,2.61,3.49,3.21,2.05,,2.89,3.34,2.61,1.43,,
December,7.47,5.01,4.35,2.88,2.99,,2.66,6.10,3.29,6.28,,
Total,48.48,36.37,32.08,51.40,34.46,,40.64,47.80,43.26,44.16,,
Calc annual,48.48,36.37,32.08,51.40,34.46,0.00,40.64,47.80,43.26,44.16,,
Difference,0.00,0.00,0.00,0.00,0.00,NaN,0.00,-0.00,0.00,0.00,,
