BUILTH-PENCERRIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO041538,Long,-3.403787,Lat,52.174095,Elevation,750,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,4221/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,3.77,3.87,1.19,5.17,6.69,6.4,5.8,-999,,3.69,,,3.14,5.13,3.21,9.21,1.61,1.04,4.54,,,,,,,,,
February,,,3.3,0.28,4.45,2.02,5.83,1.58,3.43,-999,,0.38,,,4.43,6.23,1.34,3.37,1.75,6.97,3.73,,,,,,,,,
March,,,3.08,2.73,1.25,2.33,2.37,0.35,1.82,2.83,,2.05,,,1.25,1.19,6.88,2.27,1.74,1.63,4.57,,,,,,,,,
April,,,0.77,3.37,4.2,2.13,2.84,0.18,2.86,2.71,,2.5,,,1.78,1.42,3.5,2.35,3.7,2.6,3.37,,,,,,,,,
May,,,1.57,1.98,1.01,1.59,1.41,3,0.66,2.13,,4.97,,,3.33,2.74,2.91,2.8,3.58,1.5,2.07,,,,,,,,,
June,,,2.9,1.12,4.9,4.38,1.23,2.74,2.56,0.99,,0.57,,,4.02,2.73,1.61,3.1,1.03,1.93,0.63,,,,,,,,,
July,,,3.31,1.94,0.35,6.09,2.55,4.64,7.52,3.9,,2.77,,,1.6,2.13,1.9,1.75,0.72,4.3,1.23,,,,,,,,,
August,,,0.73,2.88,1.2,0.31,0.61,3.2,2.1,0.23,,2.87,,,3.65,5.64,0.43,3.37,2.19,5.77,4.98,,,,,,,,,
September,,,1.49,2.66,5.73,3.14,2.61,1.3,0.67,1.59,,2.54,,,2.42,5.45,2.13,2.74,2.32,6.89,3.09,,,,,,,,,
October,,,6.77,3.84,4.72,2.76,3.15,5.78,1.98,4.46,,3.57,,,5.07,1.44,0.96,2.97,5.88,1.96,0.96,,,,,,,,,
November,,,3.34,1.44,5.99,4.46,1.26,6.19,8.54,9.52,,0.88,,,0.87,8.01,4.1,2.15,5.13,5.24,8.41,,,,,,,,,
December,,,2.25,8.27,3.54,4.99,3.41,4.55,2.04,3.4,,4.38,,,5.17,3.59,3.97,7.29,4.58,2.35,4.84,,,,,,,,,
Total,,,33.28,34.38,38.53,39.37,33.96,39.91,39.98,36.93,,31.17,,,36.73,45.7,32.94,43.37,34.23,42.18,42.42,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is adjacent to Pencerrig Hall. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1940s and 950s record notes the exposure is unorthodox, without going into detail",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
