HOVE-PARK-VIEW,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ286060,Long,-0.17496109,Lat,50.839248,Elevation,145,ft,,,,,,,,,,,,,
Station no,479,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,1.46,3.23,2.52,2.5,2.44,2.78,0.94,4.31,6.01,4.31,6.83,
February,,,,,,,,,1.52,1.71,1.61,2.22,0.15,2.31,0.11,4.77,2.34,5.6,1,1.77,
March,,,,,,,,,2.27,0.11,1.65,0.45,1.42,2.58,3.36,0.63,1.6,3.77,0.64,1.84,
April,,,,,,,,,3.22,0.77,1.79,2.84,2.19,1.25,2.57,3.87,2.4,3.1,0.37,3.32,
May,,,,,,,,,1.3,2.05,2.03,2.61,3.05,2.47,0.46,1.06,0.77,2.69,3.46,1.23,
June,,,,,,,,,2.87,2.5,0.91,1.67,1.56,2.17,1.49,2.14,2.49,1.11,0.69,1.48,
July,,,,,,,,,2.17,1.67,2.61,3.28,2.9,1.54,1.91,0.47,4.17,1.88,1.85,4.68,
August,,,,,,,,,2.16,2.61,3.4,2.56,0.71,1.38,2.69,4.21,0.68,1.29,1.7,3.01,
September,,,,,,,,,0.86,0.8,2.68,2.01,2.85,3.57,1.64,6.9,2.33,2.26,3.11,0.88,
October,,,,,,,,,7.16,3.71,2.79,0.39,7.11,2.19,2.22,4.55,1.33,2.88,4.37,7,
November,,,,,,,,,4.05,9.65,5.84,4.4,1.72,1.23,5.27,7.91,5.66,2.16,3.65,,
December,,,,,,,,,3.74,6.62,2.88,1.72,0.85,0.83,8.96,4.67,2.79,4.66,3.74,,
Total,,,,,,,,,,33.66,31.42,26.67,27.01,23.96,33.46,42.12,30.87,37.41,28.89,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1928 Jan estimated,,,,,,,,,,,,,,,,,,,,,
1939 Nov Dec estimated,,,,,,,,,,,,,,,,,,,,,
