CADNAM-CANTERTON-MANOR-(SKERS-FARM),,,,,,,,,
Grid ref,SU269137,Long,-1.6185,Lat,50.92244,Elevation,160,ft,
Station no,647,,,,,,,,
,,,,,,,,,
,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,6.36,2.75,1.61,3.7,3.46,6.36,1.04,
February,,1.2,0.74,2.83,3.15,2.1,1.23,1.61,
March,,0.77,0.31,0.89,1.28,7.53,1.27,1.46,
April,,0.89,1.95,1.3,3.62,2.83,1.74,2.02,
May,,3.59,0.53,2.2,4.83,1.88,3.71,1.94,
June,,1.13,2.21,3.52,4.32,1.64,2.71,0.43,
July,,2.22,3.37,1.82,1.23,1.58,1.12,0.58,
August,,1.41,3.6,2.45,5.5,1.36,3.57,1.4,
September,2.67,1.71,2.18,2.93,5.95,1.23,2.41,2.6,
October,3.67,4.95,5.39,3.72,1.58,1,2.01,8.04,
November,2.56,1.62,6.87,0.5,7.4,1.6,2.1,4.75,
December,4.64,2.44,3.03,5.25,3.68,3.37,6.06,1.82,
Total,,28.29,32.93,29.02,46.24,29.58,34.29,27.69,
,,,,,,,,,
1942 Sept 1 Gauge moved 600yds NW to Skers Farm as Canterton Manor sold Will be regarded as continuation,,,,,,,,,
1950 Station terminated,,,,,,,,,
