CADNAM-CANTERTON-MANOR,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU273135,Long,-1.61293,Lat,50.92039,Elevation,190,ft,,,,,,,,,,,,,,,
Station no,647,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942
January,,,,,,,,,,,5.04,2.56,2.79,2.69,2.9,0.64,6.33,6.85,3.72,6.53,3.19,3.92,4.58
February,,,,,,,,,,,1,2.45,0.1,4.51,0.09,4.36,3.26,6.24,0.78,1.6,3.93,3.2,0.43
March,,,,,,,,,,,1.55,0.84,1.73,3.75,3.37,1.24,3.21,4.08,0.3,1.5,3.15,4.12,2.73
April,,,,,,,,,,,2.87,2.81,3.48,1.2,2.1,3.9,2.06,2.02,0.03,2.04,1.05,2.03,2.17
May,,,,,,,,,,,2.03,2.97,4.36,2.24,0.8,0.8,1.31,3.81,2.25,1.27,0.56,1.93,4.6
June,,,,,,,,,,,0.83,2.59,2.44,1.69,1.23,4.57,3.03,1.27,0.7,2.32,0.24,1.16,0.51
July,,,,,,,,,,,2.49,4.48,2.61,1.77,1.66,0.66,4.24,1.11,2.98,5.58,2.6,1.84,1.81
August,,,,,,,,,,,4.55,5.25,1.15,1.54,3.83,2.86,0.41,1.06,3.8,1.97,0.01,3.78,4.7
September,,,,,,,,,,,3.52,1.59,4.44,2.96,2.56,3.99,4.14,2.66,1.75,1.57,1.65,1.43,
October,,,,,,,,,,,2.14,0.74,5.97,2,1.9,6.56,1.76,5.27,3.93,6.19,5.05,1.23,
November,,,,,,,,,,,6.33,4.29,2.14,0.73,2.75,8.25,3.73,2.12,6.11,6.86,8.56,2.82,
December,,,,,,,,,,,3.95,0.7,1.5,0.87,10.22,4.84,3.98,4.14,4.46,1.92,2.44,2.28,
Total,,,,,,,,,,,36.3,31.27,32.71,25.95,33.41,42.67,37.46,40.63,30.81,39.35,32.43,29.74,
,,,,,,,,,,,,,,,,,,,,,,,
1935 Note says station terminated as observer too ill to continue but monthly and annual totals continue,,,,,,,,,,,,,,,,,,,,,,,
1942 Sept 1 Gauge moved 600yds NW to Skers Farm as Canterton Manor sold Will be regarded as continuation,,,,,,,,,,,,,,,,,,,,,,,
