"MATLOCK BATH LOWER TOWER",,,,,,,,,,,,
Grid ref,SK293584,Long,-1.563636,Lat,53.121973,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.39,2.73,,,,,,,,,,
February,4.74,1.62,,,,,,,,,,
March,0.87,3.38,,,,,,,,,,
April,1.46,1.62,,,,,,,,,,
May,1.60,1.34,,,,,,,,,,
June,3.59,1.20,,,,,,,,,,
July,4.16,3.55,,,,,,,,,,
August,4.41,1.55,,,,,,,,,,
September,1.36,1.05,,,,,,,,,,
October,3.06,2.21,,,,,,,,,,
November,3.15,3.71,,,,,,,,,,
December,4.70,7.13,,,,,,,,,,
Total,38.49,31.09,,,,,,,,,,
Calc annual,38.49,31.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
