MATLOCK-BATH-LOWER-TOWER-NEW-GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK293584,Long,-1.5636364,Lat,53.121973,Elevation,500,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,4.82,5.89,3.09,1.27,3.13,3.95,1.24,4.99,1.47,1.83,1.63,3.78,1.33,5.91,4.92,1.94,4.16,1.63,3,3.21,5.04,4.04,4.31,4.75,1.96,2.9,3.47,4.13,2.65,7.93,1.81,5.17,3.01,2.88,2.47,2.86,1.56,4.34,5.75,4.48,6.86,
February,,,,,,,,,,2.48,5.04,1.74,2.24,1.79,4.87,1.63,4.28,2.92,2.42,0.89,4.34,2.65,1.95,1.45,2.73,5.23,5.36,0.75,2.78,2.24,2.84,0.24,4.22,6.47,1.05,4.48,2.56,2.06,3.61,0.81,0.82,3.83,0.36,4.6,0.24,3.44,2.69,5.48,1.28,2.01,
March,,,,,,,,,,1.56,0.91,3.4,2.3,4.85,2.06,4.48,2.67,2.12,3.46,4.53,0.8,1.74,4.61,5.25,3.32,1.11,4.3,2.67,1.51,5.06,2.46,1.99,2.61,2.12,1.18,0.99,1.23,4.26,2.84,0.21,2.81,0.15,2.11,2.79,3.1,1,2.55,2.89,0.29,2.38,
April,,,,,,,,,,3.59,1.45,1.64,2.94,2.08,2.13,2.37,1.18,1.86,2.69,1.72,3.15,1.92,0.59,3.57,1.54,1.19,1.88,1.94,1.77,1.74,6.49,1.56,3.29,2.43,2.67,3.01,2.05,2.35,1.09,1.36,3.08,3.92,3.28,1.17,2.46,3.2,1.57,2.25,0.16,1.61,
May,,,,,,,,,,3.29,1.63,1.39,3,3.07,1.58,0.33,2.5,3.56,3.05,2.22,3.12,1.53,2.99,2.31,2.08,1.36,2.28,1.98,2.49,1.3,3.86,1.63,0.67,3.12,3.64,4.38,3.32,1.44,0.74,2.55,1.79,3.16,5.8,2.21,1.52,0.33,0.42,3.04,2.28,1.69,
June,,,,,,,,,,1.65,3.63,1.28,1.71,1.14,0.69,3.28,1.63,4.97,1.9,3.24,2.6,2.41,4.09,1.38,2.04,0.97,2.2,2.65,1.02,0.99,3.04,0.37,1.29,0.71,2.71,0.04,2.34,5.13,3.29,1.6,2,4.37,0.85,1.89,0.89,4.86,3.17,1.18,1.84,1.77,
July,,,,,,,,,,1.03,4.28,4.31,2.29,3.82,2.75,1.38,1.19,2.59,3.01,4.15,3.5,0.05,5.6,0.83,4.05,4.51,1.83,1.8,3.88,2.92,5.56,0.9,5.06,4.29,4.72,2.08,3.32,2.49,1.28,2.44,6.62,4.15,2.94,2.48,1.51,1.02,5.19,2.69,3.58,5.58,
August,,,,,,,,,,0.78,4.99,1.72,3.48,6.4,4.56,4.96,2.11,3.08,4.38,3.01,5.25,1.52,6.88,2.11,2.34,3.02,2.18,6.46,2.85,3.17,1.01,3.61,5.35,3.43,4.24,3.51,2.58,5.78,3.96,2.56,3.39,6.54,2.11,0.55,2.23,1.85,1.18,0.82,1.16,2.23,
September,,,,,,,,,,4.66,1.41,1.18,1.72,4.35,2.24,1.81,0.99,0.6,2.84,2.32,0.35,2.08,1.13,1.93,2.03,0.59,1.5,1.38,6.91,2.4,1.81,1.12,2.87,3.6,3.38,4,1.7,4.3,0.53,1.29,4.96,4.06,2.73,1.11,2.49,4.65,4.02,1.43,2.54,1.31,
October,,,,,,,,,,3.52,3.4,2.43,3.65,7.7,1.57,1.75,7.34,5.09,1.12,5.41,2.86,2.68,3.72,3.74,3.14,2.11,4.52,5.19,1.7,3.21,2.16,3.79,1.16,2.45,5.59,4.33,3,3.51,5.39,4.31,4.42,0.64,4.52,5.06,2.28,5.79,3.21,2.58,4.57,4.44,
November,,,,,,,,,,1.78,3.32,3.79,2.75,2.52,2.05,4.18,3.54,3.55,1.94,0.9,6.06,3.33,2.32,3.21,4.92,3.26,3.99,1.96,1.83,2.29,1.32,1.97,1.67,3.75,2.18,2.31,5.22,3.68,6.11,8.18,3.93,5.53,2.69,1.74,1.79,6.2,3.58,1.73,4.62,5.33,
