FALKIRK ARNOTT HILL,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 88086 80016,Long,-3.796049,Lat,55.999989,Elevation,135,ft,,,,,,,,,,,,
Station no,RR4128,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,7.6,3.3,2.75,4.9,4.05,7.6,4.5,3.02,2.53,5.05,5.45,4.52,5.84,2.5,,,
February,,,,2.82,2.7,1.7,2.5,4.58,6.39,6.12,1.88,3.93,2.9,1.4,1.15,1.21,5.12,,,
March,,,,1.22,5.4,1.15,1.5,0.59,4.1,0.71,0.62,2.48,2.7,2.16,3.03,1.39,5.05,,,
April,,,,2.9,1.2,0.7,0.83,4.05,3.78,1.2,0.88,5.33,1.12,0.16,1.81,1.2,2.92,,,
May,,,,2.15,1.5,3,0.5,2.88,2.44,0.8,2,0.82,4.07,2.3,2.3,2.2,1,,,
June,,,,2,2.4,0.05,1.3,2.6,0.6,1.3,2,1.53,5.23,1.62,1.2,2.78,2.03,,,
July,,,,0.15,1.6,3.3,3.55,5,0.15,1.25,1.4,5.4,4.45,4.6,3.95,2.19,2.05,,,
August,,,,2.9,1.95,4.1,4.4,3.1,4.8,0.8,0.9,3.15,3,4.5,5.28,2.12,2.44,,,
September,,,,3.75,3.62,0.38,4.05,2.5,2.95,5.2,2.3,2.21,6.5,6,2.31,1.98,4.42,,,
October,,,,3.9,4.05,4.8,2,3.22,3.32,1.98,3.02,2.44,3.98,6.6,4.39,4.02,4.12,,,
November,,,,2.6,2.5,2.9,3.52,0.98,2.99,3.05,1.68,2.65,4.72,2.51,4.51,4.92,3,,,
December,,,,4.95,3.05,2.55,6.8,2.52,5.59,3.77,3.69,3.11,4.78,2.5,2.5,4.55,6.5,,,
Total,,,,36.94,33.27,27.38,35.85,36.07,44.71,30.68,23.39,35.58,48.5,39.8,36.95,34.4,41.15,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR4128,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd stn,,,,,,,,,,,,,,,,,,,,
