DEAL-NORTHBOURNE,,,,,,,,,,,,,,,,,,,,
Grid ref,TR337522,Long,1.3453623,Lat,51.221131,Elevation,60,ft,,,,,,,,,,,,
Station no,RR6895,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,3.73,2.15,3.49,0.84,6.5,1.74,2.71,0.2,1.77,,2.22,2.29,2.57,,,,
February,,,,1.07,1.19,0.84,2.44,2.51,1.63,4.74,2.69,3.01,,3.72,2.45,2.84,,,,
March,,,,1.62,0.81,0.54,2.62,3.51,2.92,1.07,0.55,2.52,,1.54,1.44,1.22,,,,
April,,,,2.05,2.82,1.34,1.51,2.61,2.03,3.26,2.13,0.92,,1.78,1.87,1.13,,,,
May,,,,1.27,0.79,1.76,1.22,2.51,3.68,3.44,0.38,1.15,,2.65,0.26,2.65,,,,
June,,,,2.28,1.68,1.64,1.3,2.21,0.68,3.65,4.68,2.78,,1.16,0.97,0.86,,,,
July,,,,1.46,0.78,5.29,0.65,1.64,0.5,5.19,2.4,1.64,2.51,2.07,2.88,0.07,,,,
August,,,,1.95,1.87,1.67,2.27,2.39,3.17,3.95,1.95,4.63,1.94,0.55,0.82,0.83,,,,
September,,,,3.22,4.29,2.14,2.87,1.42,1.46,3.49,4.31,3.85,3.71,4.36,3.16,4.25,,,,
October,,,,4.08,2.53,3.83,2.21,3.18,5.05,0.86,10.53,7.09,5.37,2.23,3.87,5,,,,
November,,,,2.93,2.04,6.25,3.86,6.69,7.4,0.81,6.58,4.6,3.24,4.11,1.48,2.62,,,,
December,,,,0.46,3.9,0.77,7.72,3.16,3.07,1.42,4.58,4.81,2.31,1.5,4.15,0.91,,,,
Total,,,,26.12,24.85,29.56,29.51,38.33,33.33,34.59,40.98,38.77,,27.89,25.64,24.95,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
New gauge started in 1882,,,,,,,,,,,,,,,,,,,,
