PENISTONE-BROADSTONE-RES-OLD-SITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE195062,Long,-1.7071452,Lat,53.552072,Elevation,1030,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,3170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,2.73,2.65,4.67,4.28,2.56,9.35,1.54,5.93,3.71,4.11,3.63,3.19,2.13,4.59,5.31,5.27,5.79,,3.79,,,,,,,,,
February,,,,6.65,1.42,5.54,3.13,1.39,5.05,0.32,1.02,4.67,0.57,5.33,0.13,5.31,3.42,4.96,1.42,2.96,,5.15,,,,,,,,,
March,,,,2.58,1.31,1.37,1.59,3.42,2.68,0.4,3.83,0.67,2.22,2.32,3.43,1.46,3.31,3.06,0.67,3.34,3.22,,,,,,,,,,
April,,,,2.76,2.06,2.92,2.45,3.97,1.4,1.39,3.47,4.74,4.15,1.24,2.54,3.15,1.84,2.93,0.36,2.02,2.9,,,,,,,,,,
May,,,,4.5,4.55,4.29,3.31,1.38,2.24,2.21,1.69,2.58,6.51,1.56,2.03,0.44,1.53,3.22,3.8,2.44,0.69,,,,,,,,,,
June,,,,1.46,1.67,0.1,3.21,3.35,3.66,1.17,3.1,4.55,0.72,2.16,1.37,3.39,5.17,1.47,3.08,2.83,0.75,,,,,,,,,,
July,,,,2.91,3.25,0.97,3.64,2.79,1.18,2.69,7.74,4.25,3.86,3.15,1.9,1.39,3.89,2.34,4.11,6.46,3.5,,,,,,,,,,
August,,,,3.33,2.54,2.95,3.47,5.9,3.44,3.37,4.38,6.22,2.5,0.97,1.58,1.68,1.24,1.03,3.38,1.68,1.14,,,,,,,,,,
September,,,,2.84,4.33,2.69,2.14,5.84,0.28,1.15,5.4,5.51,2.74,3.03,2.74,5.89,3.98,1.65,2.67,1.94,2.81,,,,,,,,,,
October,,,1.1,2.99,4.95,4.21,4.16,4.87,5.35,4.35,4.29,1.37,5.51,4.54,3.47,8.17,3.92,3.73,8.8,3.52,5.46,,,,,,,,,,
November,,,1.99,6.05,2.99,2.38,5.42,5.47,6.4,7.66,4.47,4.31,3.18,1.9,2.32,6.88,4.72,2.45,4.9,7.2,8.04,,,,,,,,,,
December,,,4.19,3.18,4.68,5.63,2.2,2.44,2.84,8.8,2.89,1.73,1.34,0.52,4.53,2.86,3.85,2.76,3.76,3.61,3.61,,,,,,,,,,
Total,,,,41.98,36.4,37.72,39,43.38,43.87,35.05,48.21,44.31,37.41,30.35,29.23,42.75,41.46,34.91,42.22,43.79,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is beside the reservoir at the stated altitude.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New site is described as being nearby the old site.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The old site does not have an altitude therefore assumed to be the same as the new site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
