PENISTONE (BROADSTONE RES.),,,,,,,,,,,,
Grid ref,SE195062,Long,-1.707145,Lat,53.552072,,,,,,,
Station no,3170/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.50,5.53,1.47,3.81,3.88,6.53,3.55,4.32,5.03,6.65,,
February,4.91,1.52,2.57,4.75,4.06,2.15,3.68,5.93,0.24,3.95,,
March,5.43,2.29,2.82,2.83,3.28,1.91,2.56,3.17,1.58,2.70,,
April,3.13,2.13,3.23,0.72,0.90,2.88,0.46,1.10,5.34,2.23,,
May,5.39,2.48,2.78,5.65,4.79,1.15,1.28,3.72,1.26,2.58,,
June,1.61,2.06,4.03,1.54,2.99,3.75,1.31,5.32,2.54,1.68,,
July,2.98,2.18,4.60,3.66,0.84,7.97,3.38,5.71,2.53,4.31,,
August,5.57,2.86,4.12,6.07,0.89,8.32,6.96,3.81,1.24,4.85,,
September,2.60,4.22,2.68,4.49,1.61,4.51,4.71,4.08,0.23,4.11,,
October,1.20,6.76,2.23,6.54,2.48,2.59,3.96,3.40,4.00,8.74,,
November,10.25,2.67,3.59,7.93,2.22,2.10,3.15,1.10,5.28,6.48,,
December,7.74,3.74,2.03,7.15,5.78,5.53,5.06,4.95,8.16,6.04,,
Total,55.31,38.44,36.15,55.14,33.72,49.39,40.06,46.61,37.43,54.32,,
Calc annual,55.31,38.44,36.15,55.14,33.72,49.39,40.06,46.61,37.43,54.32,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,,
