"EARLSTON (CAROLSIDE)",,,,,,,,,,,,
Grid ref,NT563401,Long,-2.696011,Lat,55.652456,,,,,,,
Station no,5081/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.86,2.35,0.61,2.86,2.37,1.92,3.35,2.01,1.48,3.62,,
February,2.37,0.56,0.82,1.69,2.02,1.84,3.29,2.31,0.56,2.37,,
March,2.18,1.07,0.38,1.81,1.21,1.02,1.59,1.97,0.93,1.72,,
April,2.29,1.53,2.62,1.03,0.75,0.59,0.59,2.00,2.26,1.31,,
May,2.60,1.87,1.85,5.66,2.10,0.93,1.67,1.97,0.46,2.13,,
June,1.21,2.19,0.98,1.96,1.10,2.30,1.07,3.41,2.58,0.78,,
July,2.83,1.50,4.03,2.83,1.73,4.33,2.96,4.55,2.51,2.29,,
August,3.98,3.59,2.69,4.95,0.57,8.75,3.89,2.19,0.44,3.08,,
September,1.38,2.00,2.69,3.66,1.40,2.57,1.84,2.56,0.67,1.16,,
October,0.23,3.35,1.45,5.61,1.85,2.01,1.91,1.59,2.46,4.53,,
November,5.73,3.73,2.65,3.45,1.44,0.79,1.12,0.76,5.00,2.87,,
December,2.19,4.42,1.80,3.21,4.04,2.60,2.30,4.79,2.82,2.78,,
Total,30.85,28.16,22.57,38.72,20.58,29.65,25.58,30.11,22.17,28.64,,
Calc annual,30.85,28.16,22.57,38.72,20.58,29.65,25.58,30.11,22.17,28.64,,
Difference,0.00,-0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
