GUILDFORD-BURPHAM-LONDON-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ014519,Long,-0.54804,Lat,51.25727,Elevation,134,ft,,,,,,,,,,,,
Station no,RR8420,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,2.65,4.01,1.17,4.55,1.04,1.54,1.05,2.2,1.31,3.4,3.66,,,,,,
February,,,,1.69,3.51,0.64,2.2,1.45,1.11,0.49,3.56,1.37,2.5,0.94,,,,,,
March,,,,2.78,1.4,3.89,1.49,1.02,3.21,4.38,1.32,2.01,3.96,3.27,,,,,,
April,,,,2.24,1.34,1.49,0.48,4.24,2.95,2.4,1.62,1.84,0.06,2.69,,,,,,
May,,,,3.31,3.18,0.5,1.58,1.89,2.33,1.88,2.07,1.18,1.29,2.14,,,,,,
June,,,,5.64,0.63,5.59,1.91,1.92,1.65,3.52,3.25,2.13,3.17,0.75,,,,,,
July,,,,4.91,1.28,0.59,0.37,1.4,1.71,2.46,2.88,0.86,1.78,2.18,,,,,,
August,,,,4.47,1.75,2.94,1.37,2.68,3.63,2.14,3.69,0.98,5.9,1.91,,,,,,
September,,,,3.63,1.65,2.16,1.69,0.64,1.53,2.71,0.54,1.16,3.56,1.32,,,,,,
October,,,,7.14,2.03,1.82,4.59,4.86,2.58,5.21,4.01,3.71,3.28,4.41,,,,,,
November,,,,1.89,1.53,3.74,4.66,2.06,0.86,0.67,3.28,3.59,2.37,3.14,,,,,,
December,,,,2.49,2.88,0.65,2.6,3.46,2.6,3.78,5.06,7.64,3.32,1.63,,,,,,
Total,,,,42.84,25.19,25.18,27.49,26.66,25.7,30.69,33.48,27.78,34.59,28.04,,,,,,
,,,,,,,,,,,,,,,,,,,,
Marlyns London Road Burpham,,,,,,,,,,,,,,,,,,,,
