MILLTOWN (ROTHIEMAY CASTLE),,,,,,,,,,,,,,,,,,,,
Grid ref,NJ 55492 48528,Long,-2.744797,Lat,57.524715,Elevation,290,ft,,,,,,,,,,,,
Station no,5663/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,2.67,3.62,5.96,2.23,4.4,1.98,4.76,4.34,2.24,2.94,6.14,0.9,2.85,2.52,,
February,,,,,3.51,2.63,4.01,1.63,1.84,1.6,3.57,3.2,2.7,3.03,1.42,3.88,2.23,1.63,,
March,,,,,1.76,1.28,5.98,1.16,2.94,3.11,1.79,0.72,1.1,2.36,0.62,1.82,2.68,0.56,,
April,,,,,3.82,1.1,0.71,0.86,2.1,2.19,2.14,0.45,2.14,1.55,1.91,1.59,1.79,2.58,,
May,,,,,2.48,1.29,1.82,3.11,1.32,1.6,2.29,1.32,4.59,3.09,3.38,3.18,2.02,2.82,,
June,,,,,1.74,2.24,2.11,5.04,1.57,2.77,1.04,1.74,1.84,3.28,2.47,2.1,2.68,5.25,,
July,,,,,2.4,4.13,4.76,4.01,5.48,8.12,4.16,5.02,1.75,2.43,3.59,4.8,2.02,4.09,,
August,,,,,1.25,3.3,2.09,2.01,2.24,2.42,5.88,2.08,5.56,2.3,6.91,3.46,0.14,,,
September,,,,,6.25,2.27,1.14,3.26,3.2,2.74,1.21,3.16,3.65,4.51,2.7,4.17,3.57,,,
October,,,,,3.96,3,2.63,3.26,4.46,2.57,4.66,5.99,2.19,4.92,3.38,0.35,2.24,,,
November,,,,,3.12,2.5,2.76,2.68,3.55,8.68,5.25,1.44,4.61,4.01,0.87,4.84,5.92,,,
December,,,,,4.95,1.79,5.37,3.25,2.74,3.43,1.62,2.7,0.76,3.81,6.17,2.36,3.01,,,
Total,,,,,37.91,29.15,39.34,32.5,35.84,41.21,38.37,32.16,33.13,38.23,39.56,33.45,31.15,,,
,,,,,,,,,,,,,,,,,,,,
1936 Feb Jun Estd,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5663/5,,,,,,,,,,,,,,,,,,,
Midas,14856,,,,,,,,,,,,,,,,,,,
Hyd Stn,828620,,,,,,,,,,,,,,,,,,,
