KIRKNEWTON MANSE,,,,,,,,,,,,,,,,,,,,
Grid ref,NT106670,Long,-3.4308802,Lat,55.88781,Elevation,530,ft,,,,,,,,,,,,
Station no,RR4535,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,4.6,1.78,1.9,3.31,3.4,4.15,3.35,2.14,,,,,,,,,
February,,,,1.73,1.92,1.23,3.6,2.25,2.9,3.7,2.3,,,,,,,,,
March,,,,0.9,2.7,1.15,2.1,1.93,2.45,0.78,1.1,,,,,,,,,
April,,,,2.1,1.1,0.6,1.8,3.2,3.5,1,0.4,,,,,,,,,
May,,,,1.9,1.75,4.62,1.45,3.35,2.1,2.65,1.8,,,,,,,,,
June,,,,3.7,1.7,0.6,1.5,2.4,1,1.85,2.5,,,,,,,,,
July,,,,1,2.1,3.4,4.4,6.85,0.35,1.07,1.57,,,,,,,,,
August,,,,3.63,0.8,4.05,3.1,2.65,5.15,1.3,0.8,,,,,,,,,
September,,,,3.75,2.8,0.75,3.6,2,3.95,4.45,1.93,,,,,,,,,
October,,,,2.7,9.85,6.65,1.5,2.2,2.4,1.8,2.97,,,,,,,,,
November,,,,2.1,2.7,2.6,3.8,0.4,1.85,1.8,0.9,,,,,,,,,
December,,,,2.23,2.15,2,2.7,1.55,5.25,2.6,2.5,,,,,,,,,
Total,,,,30.34,31.35,29.55,32.86,32.18,35.05,26.35,20.91,,,,,,,,,
