EAST-HORSLEY-ROWBARNS-GRANGE,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ100521,Long,-0.42501615,Lat,51.257462,Elevation,335,ft.,,,,,,,,,,,,,
Station no,RR8452,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,,2.91,2.47,3.64,1.58,2.67,2.37,3.85,2.75,4.19,,
February,,,,,,,,,,,0.56,0.37,2.57,5.2,0.66,4.69,2.48,5.13,2.05,,
March,,,,,,,,,,,2.2,1.46,2.21,3,1.29,0.45,0.28,3.91,2.87,,
April,,,,,,,,,,,4.39,1.07,3.22,2.79,3.81,2.3,3.46,1.86,1.92,,
May,,,,,,,,,,,0.3,1.5,0.94,2.79,4.11,2.84,1.42,1.26,2.36,,
June,,,,,,,,,,,1.46,0.14,1.43,0.31,3.07,0.12,3.79,4,3.17,,
July,,,,,,,,,,,5.4,0.41,4.96,2.32,6.14,4.47,2.31,2.55,2,,
August,,,,,,,,,,,1.85,1.25,4.1,2.34,3.63,3.29,1.85,4.61,2.26,,
September,,,,,,,,,,,2.95,1.21,2.06,1.78,4.37,3.02,0.67,5.66,1.28,,
October,,,,,,,,,,,2.08,0.7,1.49,6.38,4.52,2.84,2.46,2.11,6.75,,
November,,,,,,,,,,,1.76,1.78,1.96,2.31,3.63,2.66,6.85,3.57,2.47,,
December,,,,,,,,,,,2.89,1.97,4.63,2.73,5.02,3.05,0.27,4.7,2.58,,
Total,,,,,,,,,,32.28,28.75,14.33,33.21,33.53,42.92,32.1,29.69,42.11,33.9,,
,,,,,,,,,,,,,,,,,,,,,
NGR is Rowbarns Grange. Altitudes match,,,,,,,,,,,,,,,,,,,,,
"1919 Annual total is from the British Rainfall Report, the record sheet is missing",,,,,,,,,,,,,,,,,,,,,
