ANDOVER-HATHERDEN,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU342501,Long,-1.51092,Lat,51.24952,Elevation,350,ft,,,,,,,,,,,,,
Station no,663,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,3.22,5.26,1.69,3.89,2.34,2.62,2.45,,,,,,,
February,,,,,,,,4.55,2.05,0.73,0.92,2.32,0.16,4.14,,,,,,,
March,,,,,,,,3.75,2.57,0.14,0.87,0.42,2.09,3.06,,,,,,,
April,,,,,,,,1.86,1.78,0.86,2.65,3.13,3.45,2.11,,,,,,,
May,,,,,,,,0.91,1.61,1.6,1.46,2.97,5.52,1.55,,,,,,,
June,,,,,,,,2.47,2.48,1.39,0.5,2.1,1.57,2.72,,,,,,,
July,,,,,,,,4,1.74,1.58,2.28,4.09,2.51,2.08,,,,,,,
August,,,,,,,,3.9,2.02,0.95,3.39,3.34,1.16,0.28,,,,,,,
September,,,,,,,,5.43,1.62,0.54,3.43,2.11,3.67,2.23,,,,,,,
October,,,,,,,,2.67,5.57,3.49,1.96,0.64,4.42,2.26,,,,,,,
November,,,,,,,,4.06,2.58,7.97,4.78,3.78,1.85,,,,,,,,
December,,,,,,,,4.17,2.83,7.55,3.86,0.72,1.01,,,,,,,,
Total,,,,,,,,40.99,32.11,28.49,29.99,27.96,30.03,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Blacknest Hatherden Currently called Little Goddards,,,,,,,,,,,,,,,,,,,,,
1932 Gauge moved 3yds W,,,,,,,,,,,,,,,,,,,,,
1933 Readings ceased at end of Oct House sold,,,,,,,,,,,,,,,,,,,,,
