GUERNSEY-ST-ANDREW-VAUXBELETS-COLLEGE,,,,,,,,,,,,,,,,,,,,,
Grid ref,WV299767,Long,-2.587091,Lat,49.442436,Elevation,260,ft,,,,,,,,,,,,,
Station no,4437,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,2.96,4.23,2.19,3.56,5.27,4.74,3.64,5.63,2.09,4.49,3.26,1.85,1.66,3.05,0.61,5.65,4.2,,,
February,,0.36,1.91,5.56,1.17,2.96,2.36,1.96,3.37,1.43,1.19,2.65,0.98,,0.08,4,3.62,4.91,,,
March,,1.53,3.04,2.21,2.71,0.82,1.07,3.28,2.65,0.19,2.07,2.93,2.04,,4.25,0.95,2.49,4.63,,,
April,,0.93,4.03,2.36,2.68,2.02,3.95,2.01,3.11,2.34,3.57,1.8,1.63,,1.96,2.8,1.44,2.02,,,
May,,1.68,0.84,4.86,2.79,3.75,2.51,0.99,3.22,2.2,1.71,2.01,2.51,,1.15,1.59,0.65,2.97,,,
June,2.33,0.24,2.3,0.49,1.15,0,3.5,2.67,2.83,3.19,1.08,1.54,1.2,,1.65,2.98,1.4,0.65,,,
July,3.22,0.62,2.88,1.27,2.22,2.17,1,2.62,0.7,2.52,2.07,3.13,2.44,,0.09,0.48,4.95,1.16,,,
August,1.3,1.52,2.16,1.54,2.45,2.73,1.42,2.84,1.83,1.55,2.94,7.23,0.33,,2.69,1.98,0.8,0.44,,,
September,5.14,0.98,2.39,2.67,4.03,2.55,0.19,6.55,1.59,1.8,2.59,2.49,4.01,2.54,2.66,2.39,4.81,2.05,,,
October,1.64,0.28,2.2,6.83,4.51,3.01,3.57,1.16,7.91,5.33,2.66,0.57,5.33,2.64,3.09,3.91,2.22,4.5,,7.06,
November,2.15,2.3,2.4,3.95,1.37,3,5.26,4.67,3.56,6.87,9.04,3.41,1.84,3.47,3.93,6.89,4.74,3.96,,4.27,
December,3.96,2.42,4.64,3.32,3.34,5.37,1.14,3.12,3.6,5.31,4.04,1.13,1.75,2.2,6.85,6.04,1.68,5.57,,2.81,
Total,,15.82,33.02,37.25,31.98,33.65,30.71,35.51,40,34.82,37.45,32.15,25.91,,31.45,34.62,34.45,37.06,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Now Blanchelande College,,,,,,,,,,,,,,,,,,,,,
1921 Aug 25 Inspection Small enclosed garden well sheltered on all sides Excellent site except for flowers over hanging gauge which will be removed,,,,,,,,,,,,,,,,,,,,,
1923 July Gauge moved 7yrds E,,,,,,,,,,,,,,,,,,,,,
1936 Decided not to print as gauge on roof 40ft above ground,,,,,,,,,,,,,,,,,,,,,
1937 Not printed Roof gauge,,,,,,,,,,,,,,,,,,,,,
1939 June Record terminated as gauge on roof,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Poss remove everything after Sept 1933,,,,,,,,,,,,,,,,,,,,,
