GELLI-PUMPING-STATION (ROOF GAUGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS976948,Long,-3.4812495,Lat,51.642646,Elevation,505,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,4077/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,18.01,7.21,12.43,1.96,9.77,13.09,12.74,,,,,,,,,,,,,,,,,,,11.51,,,
February,,0.03,7.15,1.14,12.62,3.53,12.7,4.3,,,,,,,,,,,,,,,,,,,10.31,,,
March,,4.89,8.41,6.83,1.9,4.92,4.52,1.03,,,,,,,,,,,,,,,,,,,9.95,,,
April,,7.67,3.49,4.9,10.13,4.37,5.15,0.47,,,,,,,,,,,,,,,,,,,0.37,,,
May,6.5,8.47,2.15,4.45,1.99,1.87,2.28,7.68,,,,,,,,,,,,,,,,,,,3.38,,,
June,8.25,3.69,3.77,3.27,8.03,5.62,2.33,4.85,,,,,,,,,,,,,,,,,,,1.34,,,
July,8.8,6.52,8.56,2.75,1.13,12.14,3.79,6.76,,,,,,,,,,,,,,,,,,,7.6,,,
August,7.2,1.65,3.17,8.58,2.99,1.63,1.5,5.84,,,,,,,,,,,,,,,,,,,6.21,,,
September,3.6,10.42,2.79,8.56,12.75,5.65,3.04,3.52,,,,,,,,,,,,,,,,,,,13.16,,,
October,2.48,15.17,10.77,9.24,10.56,4.13,3.83,14.47,,,,,,,,,,,,,,,,,,,9.28,,,
November,16.49,7.61,2.07,3.74,11.28,10.16,4.47,14.36,,,,,,,,,,,,,,,,,,,3.32,,,
December,5.56,6,2.64,23.17,6.57,10.96,6.27,8.15,,,,,,,,,,,,,,,,,,,5.75,,,
Total,,90.13,62.18,89.06,81.91,74.75,62.97,84.17,,,,,,,,,,,,,,,,,,,82.18,,,
