ABERFOYLE LEDARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN 458 050,Long,-4.488584,Lat,56.212908,Elevation,1500,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,3.4,7.41,4.8,9.14,5.83,9.14,2.87,8.34,9.42,9.53,7.16,2.2,1.16,8,10.25,,,,,,,
February,,,,,,,,,,3.17,1.05,3.41,0.18,5.3,0.9,6.94,4.16,6.12,7.99,7.62,3.4,5.51,2.8,9.43,,,,,,,
March,,,,,,,,,,1.14,4.23,2.12,3.3,4.43,3.81,2.67,6.15,4.43,6.36,4.81,6.45,2.73,4.55,3.45,,,,,,,
April,,,,,,,,,,2.11,2.64,4.16,6.53,3.88,6.27,5.33,1.98,4.73,1.22,2.96,7.23,3.13,4.82,5.42,,,,,,,
May,,,,,,,,,,5.17,4.27,8.41,5.73,3.82,3.88,0.51,2.74,3.13,7.6,1.79,1.4,3.03,5.23,5.7,,,,,,,
June,,,,,,,,,,4.71,3.95,9.3,3.14,3.23,3.47,8.24,3.16,5.49,9.03,4.52,0.55,0.83,3.18,6.2,,,,,,,
July,,,,,,,,,,5.29,5.46,5.64,6.19,5.23,3.84,2.45,6.79,6.67,7.34,9.83,4.36,4,5.8,4.12,,,,,,,
August,,,,,,,,,,8.27,9.67,3.94,3.14,4.65,7.22,4.72,4.53,6.08,5.18,3.1,2.97,5.97,10.12,12.9,,,,,,,
September,,,,,,,,,,2.52,5.47,2.74,3.79,2.28,9.86,10.22,6.52,5.79,7.53,4.68,4,3.8,9.95,5.82,,,,,,,
October,,,,,,,,,,7.4,9.82,5.26,9.7,5.13,11.23,11.97,6.49,5.31,13.3,5.25,11.73,7.7,7.2,16.42,,,,,,,
November,,,,,,,,,,8.23,8.23,14.31,5.86,4.17,2.04,5.37,4.56,1.34,14,10.25,10.15,8.18,1.48,4.24,,,,,,,
December,,,,,,,,,,14.45,8.38,5.59,10.04,2,16.21,6.2,6.86,3.63,8.82,5.4,8.43,6.22,12.5,3.55,,,,,,,
Total,,,,,,,,,,65.86,70.58,69.68,66.74,49.95,77.87,67.49,62.28,62.14,97.9,67.37,62.87,52.26,75.63,87.5,,,,,,,
