HARTLEY-WINTNEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU768569,Long,-0.899648,Lat,51.306047,Elevation,222,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,758/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,2.5,0.64,0.79,2.79,1.67,0.63,1.99,3,2.6,0.43,2.2,0.73,3.04,2.73,1.27,0.81,2.58,3.21,0.72,4.34,0.66,1.52,0.94,2.38,1.29,3.77,3.98,0.77,4.1,1.03,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,0.71,1.08,1.91,0.99,0.02,1.46,3.68,1.8,0.2,0.48,2.81,1.33,2.65,5.85,1.85,0.87,1.37,3.43,0.66,1.95,1.5,1.14,0.4,3.33,1.45,2.08,1.1,4.01,4.23,4.91,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,1.5,3.48,2.22,1.33,1.99,1.05,0.37,1.39,1.36,3.44,3.85,1.04,0.76,1.21,1.86,1.77,3.97,1.35,3.92,1.5,1,3.27,4,1.19,2.02,3.46,2.68,4.47,0.98,4.71,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,1.48,1.82,2.3,2.38,0.84,0.89,0.03,1.56,1.53,0.68,1.08,1.57,2.49,1.11,1.93,1.05,1.81,1.36,1.68,0.64,4.42,4.19,1.62,2.15,1.42,0.06,2.82,1.12,1.19,0.76,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,1.7,1.54,2.96,2.85,3.84,0.94,0.83,1.97,0.31,0.34,1.01,2.75,1.49,1.46,0.56,2.73,3.09,2.87,0.75,2.19,1.65,1.58,1.4,2.12,3.13,1.95,2.16,1.14,3.62,2.05,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,1.25,2.69,0.89,2.92,1.04,1.79,0.5,2.48,0.54,2.66,2.05,1.52,1.24,1.94,1.65,3.36,5.55,0.79,4.69,2.07,2.25,0.98,4.58,2.79,1.8,4.5,0.64,1.14,1.36,2.43,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,0.74,4.76,1.71,4.14,2.82,2.15,2.12,4.21,4.61,0.6,1.22,0.49,0.42,0.54,1.82,1.29,3.4,2.06,0.94,0.56,1.47,1.6,2.77,2.7,0.24,1.8,0.78,2.46,4.27,0.74,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,2.47,2.59,1.87,2.46,3.7,4.4,2.31,2.4,1.86,3.02,2.92,1.07,0.68,2.81,2.56,3.4,2.98,2.04,2.34,1.13,2.64,3.25,1.65,2.49,0.5,6.31,1.06,1.49,2.08,4.02,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,2.18,1.35,1.18,0.55,1.87,2.84,1.2,2.13,1.34,5.13,1.93,0.82,1.91,0.73,0.95,0.5,2.27,1.23,2.16,0.81,0.61,1.62,3.42,0.51,1.16,3.16,2.03,1.24,2.96,2.12,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,1.32,1.88,3.83,1.21,7.07,3.72,3.65,4.41,3.15,2.59,0.96,3.75,2.64,2.22,3.16,1.72,7.49,1.73,1.62,5.11,5.35,2.32,5.25,3.81,2.76,3.21,4.22,2.06,3.69,3.98,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,3.97,4.28,0.78,1.76,2.51,2.45,2.14,4.07,4.05,1.43,1.29,3.45,4.3,1.86,0.54,2.64,1.76,1.42,3.19,3.96,2.23,0.85,0.54,3.02,3.93,2.32,2.52,2.89,2.13,4.22,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,1.72,1.58,1.3,0.94,3.49,1.57,3.1,2.39,2.28,3.71,3.28,2.72,1.52,3.15,3.76,1.6,2.68,2.39,0.71,2.09,3.68,2.45,3.24,4.66,6.85,3.84,1.66,8.13,6.32,2.99,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,21.54,27.69,21.74,24.32,30.86,23.89,21.92,31.81,23.83,24.51,24.6,21.24,23.14,25.61,21.91,21.74,38.95,23.88,23.38,26.35,27.46,24.77,29.81,31.15,26.55,36.46,25.65,30.92,36.93,33.96,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
