"HARTLEY WINTNEY",,,,,,,,,,,,
Grid ref,SU768569,Long,-0.899648,Lat,51.306047,,,,,,,
Station no,758/5,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.73,1.27,0.81,2.58,3.21,0.72,4.34,0.66,1.52,0.94,,
February,5.85,1.85,0.87,1.37,3.43,0.66,1.95,1.50,1.14,0.40,,
March,1.21,1.86,1.77,3.97,1.35,3.92,1.50,1.00,3.27,4.00,,
April,1.11,1.93,1.05,1.81,1.36,1.68,0.64,4.42,4.19,1.62,,
May,1.46,0.56,2.73,3.09,2.87,0.75,2.19,1.65,1.58,1.40,,
June,1.94,1.65,3.36,5.55,0.79,4.69,2.07,2.25,0.98,4.58,,
July,0.54,1.82,1.29,3.40,2.06,0.94,0.56,1.47,1.60,2.77,,
August,2.81,2.56,3.40,2.98,2.04,2.34,1.13,2.64,3.25,1.65,,
September,0.73,0.95,0.50,2.27,1.23,2.16,0.81,0.61,1.62,3.42,,
October,2.22,3.16,1.72,7.49,1.73,1.62,5.11,5.35,2.32,5.25,,
November,1.86,0.54,2.64,1.76,1.42,3.19,3.96,2.23,0.85,0.54,,
December,3.15,3.76,1.60,2.68,2.39,0.71,2.09,3.68,2.45,3.24,,
Total,25.61,21.91,21.74,38.95,23.88,23.38,26.35,27.46,24.77,29.81,,
Calc annual,25.61,21.91,21.74,38.95,23.88,23.38,26.35,27.46,24.77,29.81,,
Difference,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,-0.00,,
