STRATH VAICH LODGE,,,,,,,,,,,,
Grid ref,NH349743,Long,-4.774196,Lat,57.728013,,,,,,,
Station no,5775/2/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.26,6.80,6.44,5.85,3.40,5.60,9.42,6.45,4.45,4.64,,
February,3.80,5.77,4.02,3.33,3.24,4.96,3.44,6.81,2.67,3.42,,
March,4.05,3.15,2.74,4.74,2.29,2.84,3.71,3.53,2.82,0.65,,
April,9.00,2.05,3.80,2.97,2.75,3.46,2.11,3.77,4.94,4.06,,
May,2.20,4.15,4.54,5.80,3.91,5.38,2.04,5.64,1.51,1.40,,
June,3.00,3.25,3.48,3.23,1.95,2.83,2.27,2.86,4.22,3.20,,
July,4.00,2.59,4.44,3.19,0.89,4.70,4.90,1.70,5.32,2.71,,
August,5.00,4.15,3.37,2.14,0.57,5.64,6.78,4.60,3.64,6.55,,
September,4.00,5.43,4.72,6.52,5.50,3.75,6.67,2.66,1.63,2.63,,
October,3.80,7.42,1.78,7.80,7.95,8.01,8.08,7.67,7.81,2.70,,
November,5.88,5.54,7.93,4.99,2.14,7.79,3.70,2.26,7.41,3.11,,
December,11.00,8.40,4.97,14.30,11.28,6.57,9.20,6.20,5.76,7.71,,
Total,61.99,58.70,52.23,64.86,45.87,61.53,62.32,54.15,52.18,42.78,,
Calc annual,61.99,58.70,52.23,64.86,45.87,61.53,62.32,54.15,52.18,42.78,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
