CARSPHAIRN DRUMJOHN,,,,,,,,,,,
Grid ref,NX524976,Long,-4.323566,Lat,55.250426,Elevation,746,ft,,,
Station no,5020/5,,,,,,,,,,
,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,
January,,,2.27,6.63,5,3.92,6.96,7.3,3.4,5.73,
February,,,2,5.71,2.66,1.16,5.13,5.42,2.21,8.12,
March,,,0.53,3.62,2.01,3.28,4.48,1.08,5.56,2.01,
April,,,2.64,1.6,2.39,1.28,1.81,1.82,5.13,7.13,
May,,,3.27,4.67,3.68,1.78,2.84,3.06,1.65,2.38,
June,,,1.81,3.72,2.55,3.8,1.54,3.54,3.46,3.43,
July,,,6.12,5.01,1.67,6.27,5.73,4.41,5.52,5.05,
August,,,3.9,5,1.42,8.7,4.29,4.45,1.31,4.36,
September,,,8.57,8.2,5,4.77,4.03,6.23,2.14,4.09,
October,,,5.5,10.51,5.12,3.88,4.36,4.7,9.09,5.3,
November,,3.38,9.39,12.04,5.1,2.33,2.87,1.7,7.82,11.4,
December,,5.22,5.46,10.14,7.9,6.51,5.17,7.47,10.12,6.49,
Total,,,51.46,76.85,44.5,47.68,49.21,51.18,57.41,65.49,
,,,,,,,,,,,
src_id 13281: Station name DRUMJOHN,,,,,,,,,,,
