SRON MHOR,,,,,,,,,,,,
Grid ref,NN169208,Long,-4.964194,Lat,56.344035,,,,,,,
Station no,5428/7/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,10.60,8.04,8.65,10.01,6.05,8.59,14.79,9.84,4.97,4.89,,
February,9.12,5.49,8.43,7.63,4.68,4.57,5.02,3.65,5.99,7.14,,
March,5.05,7.44,3.86,6.30,3.30,4.90,9.87,1.98,7.98,2.89,,
April,7.60,4.52,6.25,4.77,8.01,3.39,5.25,3.53,7.36,8.46,,
May,1.22,3.13,4.63,5.03,5.62,7.87,3.21,8.61,3.06,4.82,,
June,3.38,6.68,1.60,7.20,6.67,6.75,5.68,2.86,5.93,5.21,,
July,9.14,7.94,11.98,9.29,1.75,7.60,8.49,4.41,9.50,7.35,,
August,8.18,7.62,9.22,7.81,3.55,7.88,9.26,8.59,5.60,5.85,,
September,6.91,6.53,11.98,13.26,11.14,7.85,6.86,6.41,3.41,5.24,,
October,4.33,9.52,7.29,14.35,8.68,7.68,13.29,11.28,10.53,4.65,,
November,13.50,3.30,15.94,15.20,5.40,7.01,4.39,3.40,-999.00,9.94,,
December,16.19,9.02,10.78,12.30,13.88,15.85,12.53,8.80,18.25,12.57,,
Total,95.22,79.23,100.61,118.15,78.73,89.94,98.64,73.36,96.35,79.01,,
Calc annual,95.22,79.23,100.61,113.15,78.73,89.94,98.64,73.36,82.58,79.01,,
Difference,0.00,0.00,0.00,5.00,0.00,-0.00,0.00,0.00,13.77,-0.00,,
