"MASHAM MOOR, THORNEY FRANE",,,,,,,,,,,,
Grid ref,SE097798,Long,-1.852760,Lat,54.213844,,,,,,,
Station no,RR4566,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,2.90,2.29,,
February,,,,,,,,3.31,3.65,1.25,,
March,,,,,,,,4.04,3.35,4.05,,
April,,,,,,,,1.79,1.51,3.63,,
May,,,,,,,,4.28,3.66,2.84,,
June,,,,,,,,6.79,2.09,3.37,,
July,,,,,,,,2.30,3.29,3.23,,
August,,,,,,,,3.15,2.53,4.57,,
September,,,,,,,,0.53,5.38,1.64,,
October,,,,,,,,6.17,1.45,6.08,,
November,,,,,,,,4.49,4.36,1.11,,
December,,,,,,,,5.28,2.38,3.85,,
Total,,,,,,,,43.09,36.55,37.91,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.13,36.55,37.91,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.96,-0.00,-0.00,,
