HOBY-THE-GRANGE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK671177,Long,-1.0072797,Lat,52.752758,Elevation,235,ft,,,,,,,,,,,,,
Station no,2512,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,2.32,1.09,1.93,1.74,2.33,2.12,4.24,1.17,2.72,1.75,1.23,1.77,1.77,1.25,3.23,,,,
February,,,1.86,2.87,0.6,2.42,2,1.94,1.6,0.41,0.4,2.5,0.44,2.51,0.43,1.86,2.06,,,,
March,,,1.59,0.97,0.49,0.96,0.54,1.9,0.98,0.13,1.7,0.23,1.99,2.5,1.6,0.9,1.31,,,,
April,,,3.07,1.96,1.41,1.09,1.5,1.88,0.62,1.41,3.24,3.67,2.69,0.96,3.06,2.75,2.05,,,,
May,,,1.38,1.91,3.38,3.25,2.72,0.92,1.75,1.76,2.19,2.86,4.89,1.68,0.66,0.8,0.82,,,,
June,,,0.88,0.58,2.22,0.09,2.95,4.89,3.91,1.38,1.16,2.49,1.97,2.07,0.57,2.37,2.24,,,,
July,,,3.9,4.11,1.84,2.22,3.03,3.38,1.27,1.5,4.03,3.41,3.71,1.96,1.03,0.13,3.99,,,,
August,,,5.6,1.86,1.98,1.5,2.63,2.93,2.35,1.74,1.61,3.44,2.47,0.59,2.25,1.66,0.7,,,,
September,,,1.57,2.22,2.37,2.46,1.3,4.45,0.46,0.72,3.68,2.59,2.34,1.45,1.45,3.25,2.5,,,,
October,,,0.78,2.37,3.79,2.49,2.16,1.7,3.52,2.63,2.29,0.61,3.22,2.86,1.21,2.76,,,,,
November,,,0.98,1.87,1.8,1.8,3,2.55,2.83,4.85,2.74,1.85,1.55,1.58,1.95,4.31,,,,,
December,,,3.07,2.27,2.34,1.51,0.86,1.82,1.72,3.6,1.6,0.97,0.68,0.29,3.77,3.3,,,,,
Total,,,27,24.08,24.15,21.53,25.02,30.48,25.25,21.3,27.36,26.37,27.18,20.22,19.75,25.34,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1936 Oct-Dec estimated,,,,,,,,,,,,,,,,,,,,,
