"TONBRIDGE MABLEDON PARK",,,,,,,,,,,,
Grid ref,TQ580447,Long,0.259108,Lat,51.179705,,,,,,,
Station no,346,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,1.84,3.99,1.21,4.29,1.34,1.71,0.98,,
February,,,,1.17,3.85,0.91,2.11,1.37,1.14,0.50,,
March,,,,2.69,1.82,3.69,1.87,0.91,2.39,3.73,,
April,,,,1.87,0.72,2.14,0.93,2.80,1.91,1.42,,
May,,,,1.73,1.91,1.28,1.99,2.03,1.59,1.74,,
June,,,,5.39,1.75,4.86,2.77,2.50,2.16,2.53,,
July,,,,5.23,0.97,1.03,0.49,1.41,4.07,2.66,,
August,,,,3.14,0.83,1.85,0.75,2.40,4.87,2.22,,
September,,,,2.30,1.69,1.73,1.15,0.43,2.47,2.64,,
October,,,,5.97,1.78,1.42,4.11,4.97,1.88,5.53,,
November,,,,2.09,1.39,4.51,5.85,2.21,0.93,1.21,,
December,,,,2.46,3.46,0.94,2.17,2.82,2.66,3.94,,
Total,,,,35.88,24.16,25.57,28.48,25.19,27.78,29.10,,
Calc annual,0.00,0.00,0.00,35.88,24.16,25.57,28.48,25.19,27.78,29.10,,
Difference,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
