"EAST BERGHOLT (ACKWORTH HO.)",,,,,,,,,,,,
Grid ref,TM065350,Long,1.005152,Lat,51.975083,,,,,,,
Station no,1332,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.61,2.36,0.71,1.21,2.29,3.32,1.13,2.30,1.86,2.16,,
February,3.72,0.69,0.99,2.12,1.97,0.59,2.42,2.29,0.16,1.19,,
March,2.67,2.99,0.28,2.18,1.24,0.86,1.12,0.80,1.33,1.66,,
April,2.57,1.14,1.65,0.39,0.17,0.79,0.20,0.90,1.84,0.55,,
May,2.13,1.18,1.43,1.83,2.60,1.02,1.45,2.01,0.32,0.75,,
June,0.95,1.34,4.03,2.63,2.37,1.84,1.74,5.27,1.14,0.77,,
July,2.15,0.58,2.99,2.67,0.16,2.40,3.02,3.26,1.27,4.73,,
August,3.34,2.66,1.47,3.52,2.08,3.43,2.86,3.57,1.26,3.78,,
September,2.14,2.89,1.70,1.32,1.26,1.73,2.94,2.67,0.00,2.82,,
October,0.55,1.87,2.06,1.72,4.22,1.27,1.69,2.37,1.55,6.19,,
November,3.42,4.09,1.39,3.57,0.67,0.65,2.49,1.10,1.90,3.46,,
December,1.80,2.47,0.67,2.12,1.48,1.89,1.93,3.59,3.36,2.65,,
Total,27.05,24.26,19.37,25.28,20.51,19.79,22.99,30.13,15.99,30.71,,
Calc annual,27.05,24.26,19.37,25.28,20.51,19.79,22.99,30.13,15.99,30.71,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
