HALTWHISTLE SHAFT HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY677588,Long,-2.5046,Lat,54.923,Elevation,626,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,0.9,0.7,0.4,3.44,5.01,6.88,1.86,7.17,3.01,1.98,1.76,4.5,2.55,2.62,1.15,,,,,,
February,,,,,,,,,,2.15,3.06,3.3,3.75,2.56,2.35,3.08,0.81,2.55,1.34,2.88,1.21,0.34,2.46,4.82,,,,,,
March,,,,,,,,,,3.55,1.7,3.7,4.58,1.45,1.93,1.58,3.57,2.63,4.05,2.04,2.8,1.9,0.82,1.4,,,,,,
April,,,,,,,,,,1.7,3.22,1.64,2.83,1.07,1.42,1.68,3.55,1.82,2.19,3.24,1.63,1.45,0.93,0.62,,,,,,
May,,,,,,,,,,2.07,1.81,3.34,2.1,1.29,4.03,2.36,4.76,1.4,1.73,1.56,1.27,1.74,4.78,1.81,,,,,,
June,,,,,,,,,,3.81,4.48,3.15,5.68,3.65,0.53,1.45,1.43,0.28,3.13,0.91,3.79,1.27,2.83,2.32,,,,,,
July,,,,,,,,,,5.33,7.26,5.21,4.43,2.98,9.07,1.16,4.29,1.55,5.49,2.79,2.5,4.48,2.19,3.51,,,,,,
August,,,,,,,,,,4.99,1.05,5.36,2.96,4.81,1.27,3.19,1.27,2.97,2.62,4.65,5.72,7.04,5.88,3.55,,,,,,
September,,,,,,,,,,2.02,4.16,3.67,1.92,5.83,2.45,3.22,4.31,4.01,1.29,1.93,3,4.34,6.49,4.7,,,,,,
October,,,,,,,,,,1.81,3.87,4.17,4.35,4.93,1.96,4.28,4.73,2.4,2.5,5.49,2.37,2.77,6,3.89,,,,,,
November,,,,,,,,,,1.94,5,4.26,5.97,4.32,1.44,1.78,5.17,4.82,5.25,0.99,5.69,2.6,1.94,2.82,,,,,,
December,,,,,,,,,,2.7,4.31,4.11,4.49,3.5,4.94,1.68,5.67,3.33,1.93,2.05,0.74,7.48,1.59,4.33,,,,,,
Total,,,,,,,,,,32.97,40.62,42.31,46.5,41.4,38.27,27.32,46.73,30.77,33.5,30.29,35.22,37.96,38.53,34.92,,,,,,
