WEST-TOWN-BROCKLEY-COURT-FARM,,,,,,,,,,
Grid ref,ST466670,Long,-2.76899,Lat,51.3995,Elevation,50,ft,,
Station no,2043/9,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,3.64
February,,,,,,,,,,1.77
March,,,,,,,,,,2.47
April,,,,,,,,,,1.68
May,,,,,,,,,,1.23
June,,,,,,,,,,2.54
July,,,,,,,,,,6.7
August,,,,,,,,,,5.19
September,,,,,,,,,,5.36
October,,,,,,,,,,7.77
November,,,,,,,,,,4.81
December,,,,,,,,,,4.62
Total,,,,,,,,,,47.78
,,,,,,,,,,
Elevation a little low for this area but MIDAS agrees 50ft,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as Brockley Court Farm SRC_ID 9403,,,,,,,,,,
1960-1980,,,,,,,,,,
