PRINCETOWN (BLACKABROOK INTAKE),,,,,,,,,,,,
Grid ref,SX587748,Long,-3.996086,Lat,50.555832,,,,,,,
Station no,1707/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.89,7.81,1.73,3.30,9.05,8.56,10.40,9.05,13.25,7.27,,
February,8.24,1.71,2.86,7.65,6.80,0.47,11.13,9.14,0.77,8.95,,
March,8.35,7.98,2.02,6.71,2.80,3.47,9.90,2.74,10.07,5.08,,
April,4.21,5.85,4.36,1.15,3.66,1.80,0.43,2.60,8.64,6.46,,
May,2.74,4.26,6.60,6.89,7.85,1.83,4.93,7.45,1.69,3.32,,
June,2.80,3.50,5.30,7.26,4.83,4.68,2.83,6.20,2.34,4.25,,
July,3.67,2.82,7.55,8.83,1.63,7.37,8.75,6.50,3.04,8.44,,
August,13.21,8.30,5.20,6.49,0.89,6.58,6.53,11.80,3.00,5.50,,
September,8.05,5.21,7.42,9.13,4.30,12.93,9.55,10.29,0.50,10.25,,
October,2.18,8.16,6.70,9.66,4.60,3.95,6.85,8.85,8.43,13.40,,
November,12.85,6.85,5.63,15.10,8.43,4.25,3.67,7.25,15.60,13.30,,
December,8.02,6.52,1.68,7.33,12.80,10.28,7.40,8.55,17.22,8.35,,
Total,83.21,68.97,57.05,89.50,67.64,66.17,82.37,90.42,84.55,94.57,,
Calc annual,83.21,68.97,57.05,89.50,67.64,66.17,82.37,90.42,84.55,94.57,,
Difference,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
