POTTERHANWORTH OLD HALL,,,,,,,,,,,,,,,,,
Grid ref,TF053661,Long,-0.426,Lat,53.182,Elevation,55,ft,,,,,,,,,
Station no,2554/5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,1.96,1.57,2.62,3.86,1.17,1.01,2.16,1.62,0.96,1.23,2.01,4.86,1.50,2.22,2.65,4.84
February,,1.90,2.19,2.40,1.26,0.49,4.24,2.77,0.50,1.72,3.01,2.51,1.07,2.09,3.76,0.26,2.26
March,,0.77,0.93,4.68,0.36,1.13,0.75,3.26,2.89,1.08,1.90,2.72,1.15,1.62,1.79,1.83,1.38
April,2.34,1.62,1.62,1.70,1.48,1.72,2.48,1.49,1.14,2.23,0.30,1.15,1.41,0.29,0.40,1.71,0.88
May,1.71,1.68,2.05,0.66,2.32,1.74,2.69,3.47,1.66,2.66,2.61,3.00,0.44,1.42,2.03,0.66,0.68
June,1.64,2.76,2.53,2.72,4.37,0.81,1.23,1.27,2.43,2.03,2.81,3.42,3.10,2.73,4.71,0.64,0.41
July,2.24,2.22,1.62,2.05,1.52,2.96,2.52,0.78,0.37,2.08,1.88,1.01,3.12,3.17,4.70,1.62,3.54
August,2.63,2.24,4.62,0.10,2.88,1.77,1.67,5.44,1.40,1.67,3.80,0.57,4.79,3.06,2.72,0.66,3.23
September,2.93,1.57,3.32,1.17,2.86,0.79,4.34,0.94,2.12,0.95,2.72,1.76,1.60,4.63,2.72,0.10,2.42
October,2.97,2.67,1.64,0.28,2.06,3.45,0.74,1.64,2.48,2.58,3.46,1.32,1.04,1.40,1.56,1.84,4.76
November,3.84,0.65,4.84,1.40,0.70,2.68,4.47,4.97,2.33,1.73,4.63,1.27,0.81,2.09,0.89,2.02,3.47
December,1.30,1.54,2.92,2.31,3.07,1.68,1.72,1.55,1.67,1.06,2.68,1.74,1.48,1.70,3.08,3.26,3.21
Total,,21.58,29.85,22.09,26.74,20.39,27.86,29.74,20.61,20.75,31.03,22.48,24.87,25.70,30.58,17.25,31.08
,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/218,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/216,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
# The station continued until 1979 according to MIDAS. (MIDAS src_id = 3877),,,,,,,,,,,,,,,,,
