NEW-MALDEN-DUNBAR-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ203684,Long,-0.2717,Lat,51.40208,Elevation,60,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,2.24,3.28,1.23,2.99,1.43,1.57,1.47,1.81,1.08,4.43,3.9,1.48,3.27,2.26,,2.16,,,,,,,,
February,,,,,,,,3.95,1.66,0.32,0.7,1.72,0.25,3.43,0.23,2.49,1.77,3.3,0.41,1.13,1.87,,0.57,,,,,,,,
March,,,,,,,,3.11,1.51,0.05,1.62,0.29,1.38,2.55,2.39,0.26,1.05,2.57,0.37,1.26,3.39,,2.09,,,,,,,,
April,,,,,,,,1.83,1.43,1.17,1.51,4.23,2.39,0.72,2.31,3,1.6,1.76,0.08,2.53,1.71,,0.7,,,,,,,,
May,,,,,,,,1.4,2.41,1.5,3.29,2.72,4.4,2.54,0.41,1.07,0.68,2.09,1.2,1.65,1.31,,3.31,,,,,,,,
June,,,,,,,,3.44,2.69,1.02,1.08,2.1,0.74,1.74,1.2,4.21,2.48,1.87,0.37,1.11,0.69,,2.56,,,,,,,,
July,,,,,,,,3.05,2.25,1.3,1.89,3.42,2.72,1.64,1.94,1.16,2.38,0.62,1.12,2.75,3.61,,1.74,,,,,,,,
August,,,,,,,,3.93,2.48,2.49,2.88,4.62,0.92,0.62,2.29,2.32,0.91,3.23,1.32,4.2,0.18,,2.12,,,,,,,,
September,,,,,,,,4.66,0.91,0.15,3.22,2.49,1.98,3.37,1.37,2.63,2.13,1.66,3.05,1.33,1.5,,1.52,,,,,,,,
October,,,,,,,,1.02,3.87,2.77,1.14,0.66,5.22,1.68,1.61,2.68,1.83,2.49,1.35,5.52,1.94,,4.35,,,,,,,,
November,,,,,,,,2.94,1.81,6.14,4.71,2.31,1.29,1,2.1,4.29,3.08,1.35,3.41,4.57,6.51,,2.67,,,,,,,,
December,,,,,,,,3.8,2.43,5.75,1.78,0.73,0.58,0.31,5.55,2.58,2.2,3.34,3.27,1.11,0.97,,3.08,,,,,,,,
Total,,,,,,,,35.37,26.73,23.89,26.81,26.72,23.44,21.07,23.21,27.77,24.54,28.18,17.43,30.43,25.94,,26.87,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 Dunbar Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge read 8am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 Dec Partly estimated for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 House bombed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 May Observer died Station terminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
