MILNATHORT (OCHIL HILLS SAN),,,,,,,,,,
Grid ref,NO 09407 07815,Long,-3.463779,Lat,56.254174,Elevation,1000,ft,,
Station no,5469/1,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,4.65,5.18,7.45,1.45,5.6,3.9,,,
February,,0.14,3.7,0.31,3.95,4.03,5.25,,,
March,1.07,2.6,2.1,5.65,1.5,3.45,,,,
April,2.72,3.6,1.71,6.06,4.6,1.42,1.8,,,
May,4.26,3.9,1.93,2.85,0.7,0.95,,,,
June,4.34,1.53,1.98,2.85,4.33,1.45,,,,
July,4.48,4.45,3.97,3.65,1.5,4.9,,,,
August,0.12,0.65,2.16,4.5,4.01,2.2,,,,
September,1.84,2.72,2.46,4.2,6.82,4.5,,,,
October,3.04,7.45,4.55,5.75,7.75,3.7,,,,
November,7.14,3.5,2.4,1.35,4.07,3.3,,,,
December,2.34,9.85,1.55,5.94,2.45,5.4,,,,
Total,,45.04,33.69,50.56,43.13,40.9,,,,
,,,,,,,,,,
Location approx,,,,,,,,,,
,,,,,,,,,,
1931 NP Low,,,,,,,,,,
1933 NP Low,,,,,,,,,,
1934 NP,,,,,,,,,,
1935 NP Low,,,,,,,,,,
1936 NP Low,,,,,,,,,,
,,,,,,,,,,
Station no,5469/1,,,,,,,,,
Midas,,,,,,,,,,
Hyd stn,,,,,,,,,,
