"GANTON (WILLERBY WOLD)",,,,,,,,,,,,
Grid ref,TA012763,Long,-0.451196,Lat,54.172523,,,,,,,
Station no,3406/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.80,1.69,1.21,1.77,1.22,4.58,1.03,2.21,2.54,,,
February,3.14,0.59,2.09,3.95,1.91,2.29,2.30,4.51,0.25,,,
March,3.41,2.01,0.15,1.65,2.54,0.63,1.05,1.42,1.38,,,
April,1.14,1.07,2.36,0.26,0.75,0.62,0.26,0.49,2.03,,,
May,4.54,1.55,1.71,1.56,2.00,0.41,0.99,2.53,0.33,,,
June,1.92,1.68,2.82,1.10,1.14,2.93,1.63,3.81,1.22,,,
July,1.86,1.97,2.22,1.40,1.06,3.75,4.00,2.32,2.70,,,
August,6.31,1.66,2.81,5.44,0.88,5.89,2.45,1.68,0.34,,,
September,1.01,5.65,1.38,1.56,1.51,1.45,3.08,1.71,,,,
October,1.01,3.04,2.60,3.64,2.51,1.35,2.24,1.75,3.98,,,
November,5.82,4.86,2.30,4.92,1.59,0.65,2.61,0.49,3.85,,,
December,2.33,2.13,0.83,1.90,2.08,2.34,1.60,3.37,4.47,,,
Total,34.29,27.90,22.48,29.15,19.19,26.89,23.24,26.29,-999.00,,,
Calc annual,34.29,27.90,22.48,29.15,19.19,26.89,23.24,26.29,23.09,0.00,,
Difference,-0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,-1022.09,NaN,,
