CLEETHORPES - SIDNEY PARK,,,,,,,,,,,,,,
Grid ref,TA291095,Long,-0.052,Lat,53.566,Elevation,11,ft,,,,,,
Station no,2573/6,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,1.74,3.03,0.82,1.05,1.81,1.66,0.92,1.64,1.16,3.29,1.25,1.53,2.09,3.35
February,2.38,0.79,0.40,3.33,2.06,0.63,1.65,2.07,2.04,2.02,1.80,2.87,0.24,1.80
March,3.44,0.46,0.71,0.56,2.09,2.08,0.64,1.73,1.79,0.60,0.89,2.10,1.45,0.90
April,0.73,3.26,1.75,2.92,1.18,1.03,2.13,0.30,0.69,1.13,0.30,0.79,1.48,0.76
May,0.32,1.02,1.14,2.06,3.03,1.43,2.31,1.67,2.99,0.66,1.31,1.90,0.21,0.63
June,1.72,2.54,0.76,1.75,1.40,1.85,2.34,1.87,2.66,2.42,1.45,3.72,1.32,0.18
July,0.73,0.86,2.34,1.98,1.41,0.55,2.03,2.31,0.48,3.43,3.18,3.54,1.44,1.85
August,0.10,2.17,1.30,2.32,3.65,1.83,2.71,3.70,1.07,2.64,2.86,1.55,1.38,3.27
September,0.86,1.97,0.66,2.57,1.13,2.92,1.45,1.84,1.40,1.80,3.22,1.75,0.24,2.00
October,0.45,1.75,2.22,0.90,1.03,2.32,2.01,2.80,1.30,1.12,1.06,1.48,1.07,4.65
November,0.99,0.76,2.28,3.45,2.58,2.47,1.11,3.20,0.93,1.02,2.23,0.60,2.12,2.84
December,1.91,2.30,1.58,2.61,1.16,1.61,1.13,1.82,1.83,1.01,0.99,1.92,2.94,2.56
Total,15.37,20.91,15.96,25.50,22.53,20.38,20.43,24.95,18.34,21.14,20.54,23.75,15.98,24.79
,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/254,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/258,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
# The station continued until 1969 according to MIDAS. (MIDAS src_id = 3764),,,,,,,,,,,,,,
