HALESWORTH-ESTATE-OFFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TM388773,Long,1.5042676,Lat,52.341748,Elevation,25,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,1.88,1.56,2.62,3.82,1.8,3.2,1.69,2.1,2.21,3.11,2.02,,3.92,1.55,2.22,1.02,2.46,1.44,3.56,1.79,2.05,2.13,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,2.49,1.51,1.29,0.73,1.62,3.43,4.89,0.66,0.88,2.49,0.72,,2.37,3.29,1.88,2.11,1.84,2.21,1.14,0.82,1.21,2.93,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,1.16,2.19,3.32,2.12,3.72,1.5,3.83,2.84,0.78,2.29,0.91,,1.92,1.47,0.52,1.53,0.41,2.53,2.29,0.08,1.12,0.38,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,1.95,1.17,0.55,2.72,0.78,1.15,1.97,1.78,3.86,2.18,3.29,,2.65,0.92,2.24,2.18,2.85,2.16,1.6,1.32,2.5,3.13,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,4.05,0.92,0.92,1.92,1.55,2.33,1.6,0.93,1.01,1.04,1.36,1.01,0.96,1.42,4.43,2.11,1.57,1.08,1.8,1.09,2.49,2.59,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,2.85,2.44,2.41,1.1,1.13,1.75,2.17,2.23,1.33,1.3,1.42,0.51,1.78,0.87,1.69,0.53,3.18,4.27,1.98,0.73,0.66,2.12,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,3.05,0.47,3.06,2.94,2.32,4.6,0.92,3.68,3.97,2.68,2.77,0.31,3.54,2.29,2.77,1.79,2.42,2.59,2.18,4.06,3.83,3.09,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,3.12,0.65,6.44,1.19,1.81,2.47,4.92,4.8,0.86,2.78,1.28,0.97,1.57,2.58,3.28,2.85,1.72,3.76,2.66,1.41,2.92,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,1.82,1.66,3.1,1.42,0.73,2.28,0.86,1.82,4.42,0.55,2.98,1.7,3.48,1.59,4.25,2.49,0.84,3.47,0.85,0.67,5.62,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,1.01,2.17,1.8,3.07,2.45,2.01,2.55,2.88,2.72,2.7,,0.93,1.4,3.66,4.57,2.48,2.75,1.81,1.83,2.82,0.74,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
