"LAIRG",,,,,,,,,,,,
Grid ref,NC583070,Long,-4.401148,Lat,58.029462,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.83,2.96,,4.47,2.74,5.61,4.59,4.41,3.60,,,
February,1.82,2.39,,4.53,4.74,5.31,5.39,4.26,3.97,,,
March,2.45,3.13,,3.10,1.36,3.65,3.40,3.15,4.61,,,
April,3.22,2.15,,3.74,5.84,2.41,2.80,2.54,2.44,,,
May,1.80,1.14,,2.03,2.56,1.89,3.64,3.36,2.00,,,
June,2.89,2.76,,1.63,1.87,1.18,1.03,4.19,2.17,,,
July,3.19,2.23,,4.01,0.87,2.80,4.03,1.64,1.46,,,
August,2.73,2.52,,7.81,3.47,3.68,3.25,3.74,2.32,,,
September,2.70,1.54,,2.83,2.40,2.48,1.46,1.15,4.64,,,
October,5.07,3.38,,6.01,4.02,5.01,2.63,1.57,1.18,,,
November,4.73,3.48,,4.72,3.32,5.33,8.11,3.09,4.43,,,
December,6.61,4.10,,2.20,3.67,2.79,3.76,4.01,2.50,,,
Total,43.04,31.78,,47.08,36.86,42.14,44.09,37.11,35.32,,,
Calc annual,43.04,31.78,0.00,47.08,36.86,42.14,44.09,37.11,35.32,0.00,,
Difference,-0.00,0.00,NaN,0.00,0.00,0.00,0.00,0.00,0.00,NaN,,
