"EDINBURGH (FOUNTAINHALL ROAD)",,,,,,,,,,,,
Grid ref,NT262715,Long,-3.182767,Lat,55.930879,,,,,,,
Station no,5138/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.88,2.48,0.30,2.34,1.83,1.51,3.13,1.43,0.79,2.92,,
February,2.09,0.45,0.70,1.68,1.53,1.86,2.90,1.84,0.41,2.17,,
March,2.74,1.01,0.40,1.41,1.80,1.08,1.59,2.19,0.42,1.20,,
April,2.71,1.51,2.07,1.67,0.44,0.63,0.60,1.77,1.87,0.73,,
May,3.55,1.85,1.89,4.70,2.07,0.58,1.37,2.08,0.46,1.44,,
June,1.64,2.20,1.39,2.48,0.74,2.39,1.22,3.29,1.95,1.11,,
July,3.68,2.27,4.71,2.05,1.60,5.32,5.27,6.98,2.48,2.48,,
August,5.37,4.41,2.12,5.18,1.06,7.37,2.95,3.39,0.24,4.10,,
September,0.93,1.76,2.42,3.09,1.16,4.15,1.57,2.36,0.51,1.14,,
October,0.51,1.51,1.34,6.32,1.55,1.77,1.83,1.06,1.70,3.27,,
November,4.29,2.16,3.16,2.81,0.77,0.63,2.20,1.08,4.80,2.41,,
December,2.40,2.73,3.30,2.72,4.00,2.48,2.17,4.11,2.72,2.39,,
Total,32.79,24.34,23.80,36.45,18.55,29.77,26.80,31.58,18.35,25.36,,
Calc annual,32.79,24.34,23.80,36.45,18.55,29.77,26.80,31.58,18.35,25.36,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
