WILLITON-CATWELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST080410,Long,-3.3169,Lat,51.16085,Elevation,75,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2094/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,6.15,2.69,4.31,3.15,7.05,1.74,2.54,3.06,3.38,6.77,0.95,1.09,3.86,,,,,,,,,
February,,,,,,,,,1.45,2.41,3.93,0.25,2.21,0.54,2.28,2.52,1.46,1.38,1.7,5.76,4.66,,,,,,,,,
March,,,,,,,,,1.55,2.19,3.62,1.98,1.31,0.21,0.95,0.92,6.19,1.67,1.28,1.11,3.12,,,,,,,,,
April,,,,,,,,,3.38,2.89,1.9,1.83,0.94,1.35,0.6,3.57,2.92,1.98,1.87,2.36,3.46,,,,,,,,,
May,,,,,,,,,1.04,1.74,1.77,4.83,3.03,1.07,3.59,4.86,2.83,3.97,2.58,2.51,3.21,,,,,,,,,
June,,,,,,,,1.63,2.63,0.91,1.92,0.49,1.72,2.23,1.95,2.03,1.68,1.93,0.47,0.71,1.15,,,,,,,,,
July,,,,,,,,2.38,3.89,3.26,1.72,1.25,1.73,1.39,2.72,1.43,1.45,1.92,2.31,3.88,0.98,,,,,,,,,
August,,,,,,,,5.61,3.11,0.1,3.51,3.1,2.62,2.67,1.59,5.13,0.53,3.47,1.76,4.95,,,,,,,,,,
September,,,,,,,,1.42,0.96,1.66,0.74,1.44,5.69,2.16,2.27,3.64,1.64,1.47,2.16,5.1,,,,,,,,,,
October,,,,,,,,3.71,3.14,5.07,2.41,2.03,3.06,4.73,3.76,1.42,0.6,3.61,6.58,1.59,,,,,,,,,,
November,,,,,,,,5.04,5.73,7.77,2.77,1.24,2.99,6.25,0.8,5.66,2.41,1.55,5.05,6.68,,,,,,,,,,
December,,,,,,,,4.25,1.67,2.64,2.49,3.5,2.63,3.84,6,4.69,2.23,5.28,1.79,2.71,,,,,,,,,,
Total,,,,,,,,,34.7,33.33,31.09,25.09,34.98,28.18,29.05,38.93,27.32,35,28.5,38.45,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lived near the Baptist Cottages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951 Station terminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
