ELLON KERMUCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ989353,Long,-2.019957,Lat,57.408088,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,2.81,2.18,2.69,2.88,2.03,1.14,2.43,1.23,3.12,2.82,1.86,5.16,0.97,3.03,1.39,3.71,2.76,2.19,1.96,,,,,,,
February,,,,,1.72,3.33,1.51,1.02,2.56,4,1.2,0.45,2.93,2.5,1.94,3.09,1.09,0.5,2.95,1.66,4.93,3.28,1.48,,,,,,,
March,,,,,3.39,1.92,2.86,2.69,4.2,2.22,3.26,3.54,0.95,0.92,0.33,5.06,2.32,3.2,2.96,3.47,3,2.57,1.66,,,,,,,
April,,,,,1.46,1.58,1.37,2.62,2.34,3.31,1.31,0.63,1.35,0.72,0.87,1.37,1.24,1.91,3.61,3.05,1.62,2.27,2.5,,,,,,,
May,,,,,1.2,3.76,3.54,1.49,1.19,1.12,2.41,2.55,2.6,1,3.54,0.45,1.7,1.57,3.2,1.78,0.99,1.52,3.05,,,,,,,
June,,,,1.38,1.37,1.16,1.06,0.52,1.91,0.42,1.84,0.48,2.03,2.37,1.09,2.41,2.57,3.67,1.38,1.29,2.76,1.36,1.43,,,,,,,
July,,,,4.23,2.43,1.6,2.77,1.84,3.7,3.66,3.41,2.32,2.4,2.63,2.82,3.98,3.5,0.97,1.4,4.39,4.17,1.96,4.45,,,,,,,
August,,,,2.36,2.08,2.83,1.16,3.47,1.57,5.03,2.83,4.85,3.12,1.75,8.49,4.56,2.37,3.57,2.69,0.95,2.76,2.1,2.1,,,,,,,
September,,,,3.85,1.54,4.51,1.58,4.16,2.1,1.72,1.8,5.65,2.34,4.22,1.09,1.14,4.4,2.99,1.99,3.76,2.38,1.71,1.3,,,,,,,
October,,,,2.75,3.41,4.1,2.15,4.11,2.31,4.02,5.4,1.78,7.2,2.96,3.41,7.13,5.27,2.55,2.55,1.24,3.04,3.05,2.3,,,,,,,
November,,,,1.65,3.95,2.58,2.67,2.62,3.19,2.27,6.59,2.88,2.58,5.11,1.34,3.03,1.35,2.22,3.49,1.09,4.3,2.53,,,,,,,,
December,,,,2.94,2.6,2.81,5.13,4.02,1.65,2.34,3.17,2.03,1.56,2.41,2.46,5.47,6.7,3.41,2.73,5.01,2.49,4.43,,,,,,,,
Total,,,,,27.96,32.36,28.49,31.44,28.75,31.25,35.65,28.39,32.18,29.41,29.24,42.85,33.48,29.59,30.34,31.4,35.2,28.97,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
