TORQUAY ABBEY PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX909638,Long,-3.538503,Lat,50.463849,Elevation,27,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,41.09,2.41,6.5,3.13,4.67,2.86,3.48,0.5,7.33,7.27,4.85,6.4,2.63,4.89,4.32,7.7,2.32,2.82,3.98,4.65,6.85,0.61,0.96,3.93,3.3,0.47,1.75,5.93,4.26,4.01,3.66,5.61,4.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,26.89,3.5,1.57,1.79,0.01,4.59,0.14,4.25,3.79,6.73,1.19,2.02,4.52,4.82,0.23,1.81,0.22,2.14,3.74,2.45,1.42,1.48,6.66,4.75,0.35,1.49,3.4,3.19,0.17,5.7,3.32,0.32,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,21.58,0.23,2.72,2.53,2.67,4.05,3.37,1.26,4.6,5.78,0.06,1.26,2.95,3.57,3.34,1.23,0.12,1.21,1.88,10.27,1.55,1.06,1.87,4.82,3.43,0.52,3.37,1.79,0.95,3.05,2.16,4.29,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,24.28,0.81,2.98,3.52,2.46,1.7,3.42,3.68,2.53,3.29,0.09,2.33,3.99,1.55,2.12,0.85,2.33,0.86,2.26,3.05,2.36,1.54,1.59,2.13,2.96,3.23,0.16,1.02,0.82,0.33,0.92,3.06,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,17.15,2.83,1.42,2.14,3.69,1.36,1.19,2.67,0.95,2.73,2.18,0.44,1.61,2.1,6.22,3.48,0.62,3.73,5.97,2.46,2.47,2.64,4.08,2.31,2.17,3.56,1.72,3.76,1.07,2.3,2.44,1.46,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,11.41,2.31,0.15,3.39,3.16,1.38,1.69,4.36,1.35,1.77,0.78,3.78,0.83,3.9,0.44,0.91,1.87,3.24,2.45,3.4,2,0.55,0.57,0.85,1.41,1.71,2.77,2.78,1.51,0.93,2.96,1.18,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,19.95,1.35,1.73,3.72,1.37,2.02,0.7,0.32,5.35,1.23,3.36,6.02,2.25,0.49,1.41,2.37,2.8,1.76,1.11,1.38,0.67,1.26,4.26,1.65,1.76,2.4,1.88,2.57,2.66,4.1,2.63,2.49,4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,20.48,1.74,4.12,3.7,1.76,0.99,2.33,2.35,0.15,1.05,8.8,1.9,0.07,3.44,3.16,2.31,3.42,2.26,3.86,0.87,2.6,1.56,3.52,3.72,3.78,1.99,2.59,0.09,3.63,2,3.18,2.54,4.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,23.94,0.27,3.92,1.49,5.25,2.83,2.63,3.94,2.85,1.64,1.15,0.79,1.34,1.69,2.21,4.08,1.72,2.55,5.41,1.81,1.41,2.96,4.27,4.4,3.54,2.72,2.94,0.96,6.55,2.87,3.99,0.01,5.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,31.29,4.8,3.39,0.46,7.78,2.06,2.02,3.43,0.75,3.15,3.27,5.44,3.97,1.52,4.37,3.33,4.24,4.63,1.74,0.96,2.77,6.87,1.54,1.21,5.1,2.47,2.62,2.66,1.41,2.72,2.75,3.15,9.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
