TORQUAY CARY GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX918635,Long,-3.52574,Lat,50.461319,Elevation,12,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,1.4,3.2,4.49,4.1,0.64,2.48,0.88,5.49,5.36,3.34,1.32,4.03,5.56,1.42,6.21,1.73,1.26,1.57,3.88,0.78,4.13,7.22,0.8,3.16,1.6,1.02,3.16,5.67,6.22,3.69,4.58,1.23,4.26,6.15,5.65,3.95,5.36,2.1,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,2.3,4.66,1.72,0.01,0.46,2.98,2.24,5.77,5.89,1.23,1.61,2.61,5.93,0.84,3.81,1.53,1.79,0.44,5.91,1.47,3.4,1.44,4.47,7.5,6.42,0.77,1.41,5.88,0.63,0.27,3.25,7.46,1.39,4.59,3.18,3.27,2.85,3.04,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,1.14,0.17,1.62,3.11,3.42,5.89,1.87,0.76,1.91,4.75,2.23,4.24,2.03,5.33,1,0.66,3.13,5.53,0.86,2.29,4.77,3.74,5.21,0.96,3.87,3.5,1.5,3.87,3.5,2.13,3.5,1.93,2.06,0.39,0.81,3.92,3.34,0.21,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,0.81,0.41,2.39,2.43,0.1,3.98,1.27,2.78,1.19,4.58,2.05,1.34,1.09,2.65,0.85,4.15,2.47,1.87,2.07,1.1,0.15,4.05,1.2,1.01,0.47,1.48,1.6,1.78,3.72,0.74,4.4,3.02,3.09,2.55,2.39,2.15,2.22,0.54,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,0.61,1.14,2.43,0.66,0.03,1.68,3.17,2.07,1.7,1.43,1.39,3.15,2.37,0.56,1.53,3.48,1.75,0.9,2.19,0.55,1.13,2.59,1.38,3.61,1.64,1.71,1.29,0.64,1.49,2.22,0.39,1.89,5.02,3.54,0.83,0.43,1.34,2.27,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,1.68,0.71,2.36,1.1,1.97,2.64,1.39,1.17,3.07,1.01,3.22,1.88,1.11,2.77,1.96,1.65,0.31,4.34,1.78,1.88,3.34,0.51,0.78,2.07,1.76,2.44,0.93,0.97,1.53,0.11,0.48,0.22,1.89,0.01,3.28,1.9,1.99,2.06,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,1.34,3.75,4.18,2.73,1.52,0.88,0.24,0.34,0.64,1.84,2.25,3.62,4.62,0.59,0.78,1.98,1.28,2.19,2.4,0.41,1.77,0.3,2.97,3.26,0.69,1.88,4.47,1.49,3.31,0.41,3.89,0.66,4.16,2.5,0.59,2.54,1.89,1.27,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,3.48,0.86,3.31,2.41,1.03,3.31,2.1,3.26,1.5,0.89,2.44,3.41,2.87,3.16,1.91,0.72,4,1.82,3.65,0.48,6.16,1.53,2.39,1.87,5.82,5.11,2.22,2.98,1.41,3.12,3.16,1.93,1.97,2.51,0.91,3.5,1.97,1.57,3.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,2.49,1.27,3.05,0.28,5.45,3.09,0.8,2.57,1.05,4.42,2.46,3.28,1.81,1.86,0.95,0.94,2.46,1.49,0.17,1.81,1.13,2.5,2.53,0.89,3.27,1.65,5.71,1.61,1.65,1.19,2.95,2.63,4.38,3.36,0.81,4.48,2.49,0.21,3.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,4.86,2.84,7.76,3.91,3.99,0.94,5.88,1.99,2.03,1.5,3.51,6.95,2.05,2.3,4.52,7.92,2.22,6.64,4.61,4.2,4.6,3.68,2.65,5.09,6.15,3.76,1.63,0.81,2.34,0.77,1.42,5.7,5.78,4.01,3.54,2.68,5.05,4.04,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
