BRISBANE HOUSE 2M N OF LARGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 209 619,Long,-4.860763,Lat,55.817215,Elevation,125,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,,,,2.12,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,6.1,5.8,3.7,3,8,3.5,8.1,8.1,7.8,6.9,0.7,2.7,5.2,3.9,4.7,6.7,5.6,8,8.6,4.4,6.6,8.7,4.4,,
February,,,,,,,,,,4.69,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2.7,3.3,1.7,10.3,4.1,8.6,3.7,5.1,2.3,3.8,1.2,5.9,3.35,1.1,4,4.15,3.5,2.2,3.3,5.5,3.3,5,4.3,,
March,,,,,,,,,,2.92,4.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3.6,5.2,1.6,4.1,1.7,2.2,6.9,1.2,1.2,2.8,3,2,3.9,3.5,6.85,4.75,6.85,3.9,2.7,5.2,2.5,4,3.3,,
April,,,,,,,,,,1.75,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,3.9,2.7,3.1,1.2,2.5,4.9,1.9,1.7,1.9,0.7,1.5,5,3.3,5.7,6.1,2,0.6,4.5,4.1,2.5,0.7,2.2,7.6,,
May,,,,,,,,,,2.81,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1.6,2.3,4.4,2.4,3.8,2.2,1.5,2.7,0.8,4.1,2.5,3,2.2,6,0.25,3,1.9,4.8,4.2,2.1,2.9,1.7,4.6,,
June,,,,,,,,,,2.96,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,5.5,5.6,3,4.3,2.9,3.6,4.1,4.9,3.2,5.2,2.8,7.3,2.45,4.65,1.4,4.45,3.6,4.7,4.1,3.4,1.1,2.6,2.1,,
July,,,,,,,,,,1.83,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.2,9.3,3.3,6,4.9,3.5,4.8,4.9,6.8,2.6,2.5,3.1,2.9,4.7,3.3,2.2,3.9,6.5,0.7,3.4,3.2,3.9,3.2,,
August,,,,,,,,,,6.3,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.6,5.1,3.1,4.6,3,5.7,5.8,4.3,2.7,2.3,5.1,4.1,2.05,3.65,5,5.35,12.7,4.2,5.2,2.6,7.9,5.9,4.6,,
September,,,,,,,,,1.45,4.02,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5.1,4,5.3,2.9,2.2,2.4,1.7,1.2,3.8,2.9,2.2,2.6,3.45,3.3,6.9,2.75,6,2.7,6.5,6,2,5.6,4.5,,
October,,,,,,,,,8.03,2.22,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,9.2,6.5,6.4,4.7,4.2,3.7,4.1,2.8,7,5.3,6.3,2.7,3.6,5.9,4.65,5.8,5.15,7.7,4.6,4.1,5.9,4.4,5.7,,
November,,,,,,,,,3.66,2.41,4.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,6.1,5.1,5.8,5.9,8.2,6.1,1.4,9.1,3.7,3.5,1.3,2.7,3.6,1.2,3.1,3.5,8.1,3,4.6,6.1,3.7,5.2,1.8,,
December,,,,,,,,,5.49,6.53,6.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,5.2,1.6,6.6,6,2.8,4,2.9,13.5,1.1,7.1,3.6,7.2,4.8,5.75,4.85,3.8,4.1,7.5,7,3.6,5,6.6,4.1,,
Total,,,,,,,,,,40.56,38.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3,54.8,56.5,48,55.4,48.3,50.4,46.9,59.5,42.3,47.2,32.7,48.3,40.8,49.35,51.1,48.45,62,59.7,55.6,48.9,44.8,55.8,50.2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
