SOUTHAM (RDC OFFICES),,,,,,,,,,
Grid ref,SP417624,Long,-1.39049,Lat,52.258195,Elevation,323,ft,,
Station no,2449/9,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,3.77
February,,,,,,,,,,1.76
March,,,,,,,,,,1.1
April,,,,,,,,,,0.53
May,,,,,,,,,,1.43
June,,,,,,,,,0.76,3.22
July,,,,,,,,,1.23,3.19
August,,,,,,,,,0.64,3.34
September,,,,,,,,,0.18,4.2
October,,,,,,,,,2.29,3.96
November,,,,,,,,,1.79,2.86
December,,,,,,,,,3.72,2.69
Total,,,,,,,,,,32.05
,,,,,,,,,,
elevation fromNGR as not presented on record,,,,,,,,,,
10192,SOUTHAM COUNCIL OFFICE ,01/01/1960,31/12/1973,SP4180262157,,,,,,
