LONGNIDDRY (THIRLADENE),,,,,,,,,,
Grid ref,NT437763,Long,-2.903724,Lat,55.976372,Elevation,50,ft,,
Station no,5104/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,0.86,2.88
February,,,,,,,,,0.3,1.75
March,,,,,,,,1.5,0.48,1.11
April,,,,,,,,1.96,1.49,0.44
May,,,,,,,,2.35,0.44,0.82
June,,,,,,,,2.09,2.21,1.17
July,,,,,,,,5,2.41,2.57
August,,,,,,,,3,0.38,4.56
September,,,,,,,,1.68,0.66,1.46
October,,,,,,,,0.76,1.39,3.13
November,,,,,,,,0.9,4.19,1.96
December,,,,,,,,3.94,2.56,2.13
Total,,,,,,,,,17.37,23.98
,,,,,,,,,,
15799,LONGNIDDRY ,1958-1970,,,,,,,,
