"LEOMINSTER, HUMBER RECTORY",,,,,,,,,,,,,,,,,,,,,
Grid ref,SO535562,Long,-2.6818131,Lat,52.202056,Elevation,450,ft,,,,,,,,,,,,,
Station no,2248,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,1.3,4.02,2.38,4.03,3.07,4.46,1.29,5.37,1.58,3.17,1.92,2.6,0.73,,,,,
February,,,,6.41,0.28,4.12,1.44,2.62,2.24,1.06,0.71,1.98,0.29,3.15,0.3,2.42,,,,,
March,,,,1.12,1.19,0.8,0.34,2.83,2.8,0.17,2.53,0.52,1.29,2.41,1.89,0.67,,,,,
April,,,,2.6,2.94,1.81,2.42,1.29,1.77,0.68,3.41,3.35,3.7,1.03,2.64,3.67,,,,,
May,,,,1.64,7.91,3.74,2.42,1.26,0.84,1.94,2.37,4.42,6.23,1.31,1.38,0.7,,,,,
June,,,,0.3,3.22,0.03,1.44,3.92,2.75,2.82,1.31,3.8,1,1.78,0.79,4.35,,,,,
July,,,3.12,2.47,3.85,2.43,2.59,2.53,1.32,1.43,3.09,2.61,3.38,1.34,2.08,0.44,,,,,
August,,,3,1.77,3.25,2.38,1.87,4.7,2.46,1.51,2.95,3.98,2.25,0.82,2.71,1.66,,,,,
September,,,1.92,1.74,4.84,3.75,1.06,4.43,1.25,1.19,3.35,2.07,2.92,1.46,1.14,,,,,,
October,,,0.54,4.76,4.27,2.88,2.36,2.51,4.96,4.6,2.87,0.82,4.08,6.29,1.27,,,,,,
November,,,1.08,2.36,2.75,1.84,6.42,3.01,3,7.28,3.07,4.91,1.56,0.52,1.84,,,,,,
December,,,3.71,2.25,4.25,2.56,0.71,2.57,1.88,6.06,3.5,1.02,1.45,0.42,4.85,,,,,,
Total,,,,28.72,42.77,28.72,27.1,34.74,29.73,30.03,34.53,31.06,31.32,22.45,23.49,,,,,,
