MARGAM (KENFIG FACTORY),,,,,,,,,,,,
Grid ref,SS802834,Long,-3.728699,Lat,51.536751,,,,,,,
Station no,4065/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,4.35,1.61,3.13,2.93,5.73,3.16,3.35,4.50,5.22,,
February,,1.07,1.82,4.67,2.66,0.23,4.49,4.84,0.38,3.29,,
March,,4.75,1.98,3.03,1.88,1.46,4.76,0.94,3.63,2.13,,
April,,3.92,3.29,1.06,3.33,1.63,0.27,0.75,3.60,2.62,,
May,,4.27,2.79,1.95,4.51,1.17,1.86,3.47,0.87,1.11,,
June,,2.64,3.16,4.35,4.73,2.31,1.04,5.46,2.15,1.62,,
July,1.54,1.48,5.58,4.46,1.13,3.60,3.08,4.32,2.81,5.95,,
August,6.85,5.39,5.50,5.67,0.62,5.34,3.61,5.99,2.13,4.92,,
September,3.05,5.23,4.33,3.98,2.53,5.33,6.80,7.41,0.54,5.21,,
October,1.44,4.25,3.46,6.74,2.07,1.51,3.76,4.67,5.06,6.75,,
November,6.30,4.85,3.71,8.81,3.24,1.42,2.24,2.94,6.21,9.49,,
December,3.66,4.07,1.24,4.08,6.38,4.74,2.21,5.15,7.85,5.49,,
Total,,46.27,38.47,51.93,36.01,34.47,37.28,49.29,39.73,53.80,,
Calc annual,22.84,46.27,38.47,51.93,36.01,34.47,37.28,49.29,39.73,53.80,,
Difference,NaN,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,,
