BURY (SEWAGE WORKS),,,,,,,,,,,,
Grid ref,SD803078,Long,-2.298917,Lat,53.566437,,,,,,,
Station no,2851/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.23,4.68,1.50,3.98,2.83,5.27,3.71,3.58,3.21,5.25,,
February,2.51,1.22,1.60,3.10,2.14,0.97,2.59,6.12,0.43,2.49,,
March,4.78,2.64,2.07,2.75,1.88,1.36,3.73,2.54,1.98,1.05,,
April,2.24,3.57,2.95,0.79,2.28,3.32,0.73,1.27,2.81,2.40,,
May,2.00,2.32,2.21,2.79,3.28,1.43,1.61,3.70,1.73,2.06,,
June,1.03,3.44,2.82,4.10,3.28,2.82,1.82,4.52,3.38,1.87,,
July,3.13,2.63,6.76,5.79,1.03,6.34,5.40,4.14,3.33,7.09,,
August,4.34,3.73,4.82,5.15,1.15,10.15,5.35,7.95,0.44,5.49,,
September,2.62,3.22,4.24,5.04,2.71,3.75,6.18,5.89,0.23,2.88,,
October,1.37,3.50,1.72,6.70,2.24,2.75,5.11,3.49,4.04,4.81,,
November,7.61,2.26,4.22,5.70,1.80,1.51,1.85,1.57,4.06,6.16,,
December,7.24,4.09,1.43,6.02,5.47,3.79,4.38,4.09,6.80,4.05,,
Total,43.10,37.30,36.34,51.91,30.09,43.46,42.46,48.86,32.44,45.60,,
Calc annual,43.10,37.30,36.34,51.91,30.09,43.46,42.46,48.86,32.44,45.60,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
