BEDFORD-THE-PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL050510,Long,-0.466889,Lat,52.147316,Elevation,123,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,2.5,0.71,1.09,0.75,1.23,0.78,2.72,2.34,0.73,1.85,0.99,1.3,2.11,3.54,1.77,1.69,1.68,0.92,2.01,0.94,1.81,1.66,2.63,0.9,2.08,1.07,0.69,0.91,0.77,0.71,2.84,2.6,1.87,4.01,2.15,3.06,2.32,3.34,1.19,1.66,0.84,1.26,2.91,0.71,0.91,2.22,1.12,0.76,0.93,1.74,3.43,0.66,2.09,3.37,2.14
February,,,,,,,0.99,0.83,0.8,0.34,1.77,0.89,1.32,0.63,0.94,2.01,2.86,0.67,0.73,2.13,0.38,0.53,1.4,2.02,0.55,1.49,2.98,2.34,1.1,1,0.5,1.95,0.16,0.89,0.51,1.79,2.54,3.29,0.57,0.39,1.75,1.48,1.05,0.49,0.97,1.1,1.66,1.54,0.51,0.84,2.81,2.79,0.51,1.79,1.66,1.03,0.55,2.07,2.18,0.1,2.05
March,,,,,,,1.48,0.68,2.57,1.89,0.67,1.55,2.03,2.18,2.79,1.22,4.32,1.13,0.55,2.81,1.22,0.49,1.09,1.7,0.42,1,0.38,1.39,0.72,0.04,1.74,0.18,1.62,1.63,1.07,0.43,1.23,3.03,0.15,1.67,2.02,3.04,0.99,0.82,0.08,0.44,1.21,4.58,0.75,1.61,0.4,2.6,3.02,0.41,2.05,1.33,0.58,1.21,1.6,2.39,1.7
April,,,,,,,0.48,1.55,2.75,1.86,1.82,0.9,0.08,2.19,0.38,0.63,0.85,1.15,2.87,2.33,2.63,0.8,2.61,1.41,2.02,1.04,2.96,1.58,1.48,1.31,1.77,2.57,2.11,0.92,1.01,2.76,1.27,2.32,0.05,2.41,2.35,0.85,0.52,0.91,1.98,0.38,1.2,1.86,1.14,1.07,1.49,2.72,1.53,1.89,0.34,0.46,0.93,0.19,0.72,1.45,0.26
May,,,,,,,1.2,4.32,1.31,1.65,2.1,1.26,1.81,1.4,0.7,1.53,1.59,1.77,1.84,0.68,1.39,0.76,1.08,0.98,3.1,1.97,2.01,0.63,1.71,1.34,2.31,2.61,3.64,1.15,0.55,1.11,0.97,3.95,1.91,1.21,1.74,1.66,2.13,1.66,1.07,2.74,2.59,1.2,3.64,2.14,3.37,2.21,1.8,1.4,3.01,3.7,0.5,1.14,1.34,0.61,1.24
June,,,,,0.51,,2.96,1.27,0.91,3.36,0.71,2.23,2.57,0.75,2.04,0.46,2.44,1.82,0.45,0.78,1.11,0.46,0.95,0.41,1.8,0.01,2.78,2.82,2.18,0.78,0.26,1.76,0.26,1.87,0.82,1.93,3.98,1.76,0.5,1.81,0.87,1.04,0.21,2.43,1.42,1.59,2.22,1.55,2.38,0.73,1.25,0.79,0.86,2.79,2.74,1.82,2.48,1.66,4.87,0.79,2.07
July,,,,,3.07,,0.52,2.03,2.53,2.72,1.54,0.52,2.63,1.03,1.4,4.79,1.9,2.23,3.36,1.67,1.97,0.16,3.11,3.05,3.59,1.74,1.99,1.97,1.87,0.93,2.75,2.79,3.65,0.79,1.41,0.63,5.15,1.16,1.35,2.14,3.29,1.86,2.1,0.54,1.29,1.59,1.26,1.47,0.8,0.69,4.12,1.62,0.5,1.93,2.2,0.53,3.7,2.23,2.34,2.63,3.83
August,,,,,0.63,,1.08,1.81,2.3,1.97,1.66,1.03,6.45,0.73,1.08,1.39,1.98,4.21,0.57,1.47,0.81,1.46,2.58,1.83,1.94,1.68,0.85,3.06,2.15,0.66,1.8,2.59,3.19,0.91,1.91,1.7,0.42,1.71,3.18,2.67,0.11,3.28,1.46,1.41,1.79,1.52,3.54,0.05,5,0.77,1.63,2.88,3.49,3.4,3.77,0.63,3.62,2.16,2.57,0.58,2.82
September,,,,,1.93,,1.29,0.71,1.02,2.79,0.64,1.13,1.15,1.56,0.97,1.21,0.45,2.43,5.72,1.92,1.83,1.43,1.69,2.59,2.6,2.02,1.59,4.15,0.64,0.02,2.89,2.27,2.06,1.87,2.07,4.3,3.09,2.11,1.51,0.85,0.53,0.45,0.95,1.17,2.27,1.93,3.32,0.93,1.98,0.5,2.45,1.59,3.04,0.7,1.64,1.55,1.66,3.53,2.29,0.04,3.62
October,,,,,1.19,,2.97,3.24,1.65,3.07,2.27,1.44,2.11,2.85,3.05,0.91,1.84,3.19,1.19,0.8,1,1.1,0.42,3.14,2.9,3.08,2.07,1.1,2.4,2.45,0.97,0.35,2.57,0.77,1.32,2.22,1.34,2.71,2.26,3.5,2.14,2.06,2.13,1.82,2.33,2.66,1.7,0.24,2.26,4.56,0.58,0.94,2.48,1.75,1.85,1.55,1.35,1.23,1.71,1.74,3.94
November,,,,,1.14,,3.51,1.69,0.7,0.5,3.01,2.37,1.27,1.62,1.95,1.94,2.76,1.06,2,1.45,0.92,1.68,0.72,0.98,2.28,1.33,2.83,1.98,1.64,4.57,3.29,1.8,0.97,1.75,1.88,3.63,2.83,1.65,1.89,2.73,6.08,1.76,1.8,0.85,2.21,0.34,4.14,1.37,1.14,2.23,3.63,3.6,2.5,1.19,3.37,1.03,0.58,1.01,1.59,1.51,2.78
