"BEDFORD THE PARK",,,,,,,,,,,,
Grid ref,TL050510,Long,-0.466889,Lat,52.147316,,,,,,,
Station no,1180,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,2.50,0.71,1.09,0.75,,
February,,,,,,,0.99,0.83,0.80,0.34,,
March,,,,,,,1.48,0.68,2.57,1.89,,
April,,,,,,,0.48,1.55,2.75,1.86,,
May,,,,,,,1.20,4.32,1.31,1.65,,
June,,,,,0.51,,2.96,1.27,0.91,3.36,,
July,,,,,3.07,,0.52,2.03,2.53,2.72,,
August,,,,,0.63,,1.08,1.81,2.30,1.97,,
September,,,,,1.93,,1.29,0.71,1.02,2.79,,
October,,,,,1.19,,2.97,3.24,1.65,3.07,,
November,,,,,1.14,,3.51,1.69,0.70,0.50,,
December,,,,,1.55,,1.67,2.96,1.30,2.61,,
Total,,,,,,,20.65,21.80,18.93,23.51,,
Calc annual,0.00,0.00,0.00,0.00,10.02,0.00,20.65,21.80,18.93,23.51,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
