FRAMFIELD-THE-GRANGE,,,,,,,,,,
Grid ref,TQ502202,Long,0.13743216,Lat,50.961653,Elevation,156,ft,,
Station no,RR7768,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,2.57,2.19,5.86,3.24,2.65,3.91,1.31,7.15,,
February,2.34,2.12,1.86,2.95,1.85,0.82,3.46,3.26,,
March,0.28,0.96,2.29,2.15,0.62,1.07,2.83,2.44,,
April,0.13,4.57,0.93,0.77,2.88,1.09,2.39,2.5,,
May,1.39,0.88,3.37,1.13,0.58,0.69,0.92,2.45,,
June,0.21,3.46,3.12,2.6,1.54,1.99,2.75,0.22,,
July,1.73,3.08,2.22,2.51,0.75,3.82,0.37,2.98,,
August,2.57,1.1,2.04,2.87,2.33,2.08,3.56,3.11,,
September,1.69,3.91,1.69,3.36,3.3,1.77,4.96,0.8,,
October,6.18,2.3,4.13,4.64,3.77,5.08,0.75,2.71,,
November,2.3,0.82,6.53,3.34,3.4,6.07,3.38,7.31,,
December,3.67,1.53,6.29,1.01,2.74,2.46,8.57,2.48,,
Total,25.06,26.92,40.33,30.57,26.41,30.85,35.25,37.41,,
