FOREST-OF-DEAN-PARKEND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO607085,Long,-2.570985,Lat,51.773782,Elevation,325,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2129/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,5.31,3.79,3.7,1.05,5.07,5,4.36,7.29,3.13,3.48,3.55,8.76,3.15,2.56,4.56,3.66,6.49,1.44,0.68,4.41,3.72,1.01,1.9,3.67,3.76,2.21,3.11,5.9,5.17
February,,0.13,3.28,0.5,3.51,3.19,5.64,1.37,2.31,3.08,5.03,0.47,1.97,0.82,3.11,2.2,1.59,2.33,2.16,7.48,4.81,0.55,2.08,4.08,1.94,0.55,5.79,5.49,0.43,4.23
March,,2.62,4.54,2.97,0.59,5.28,4.36,0.12,2.27,2.66,2.54,3.02,1.4,0.22,1.45,1.3,8.88,1.71,1.73,3.43,3.99,2.14,1.08,4.25,2.52,0.91,4.32,1.33,2.93,2.37
April,,3.94,1.42,2.43,6.41,2.87,2.45,0.13,2.82,2.62,0.99,2.82,0.86,1.73,1.51,2.56,4.07,3.9,2.76,2.44,3.26,3.12,4.2,0.23,1.17,2.18,0.08,0.81,4.02,1.75
May,,5.99,2.6,1.79,0.95,1.11,2.67,3.04,1.2,2.27,2.14,5.58,5.1,1.13,2.76,3.62,3.33,3.92,3.4,2.07,3.3,4.54,2.68,3.23,6.31,0.9,2.16,3.17,0.88,1.27
June,,2.77,1.95,1.26,5,3.06,1.06,1.26,2.11,0.54,2.71,0.45,2.24,2.61,4.44,3.07,2.6,3.08,0.59,1.16,0.8,2.45,2.48,5.59,4.66,3.19,1.24,3.36,1.21,2.5
July,,3.03,1.71,1.07,0.43,6.68,3.83,3.62,5.47,3.54,3.11,2.38,1.35,2.75,2.01,1.2,2.92,1.26,0.73,3.95,0.86,1.58,3.77,2.71,0.16,,4.61,3.9,2.28,3.66
August,,1.3,0.74,3.33,1.4,0.44,1.03,3.34,2.24,0.07,4.34,4.59,3.51,3.15,2.91,5.51,1.39,3.6,1.71,5.36,5.03,6.21,3.71,4.21,0.57,3.45,2.15,3.1,1.14,4.78
September,,4.45,2.6,3.1,5.61,3.21,1.75,1.81,0.75,0.82,0.75,3.34,3.75,4.09,2.6,4.6,1.72,3.41,2.67,4.52,3.83,3.04,3.91,3.78,1.28,4.81,3.75,7.39,0.1,4.91
October,0.51,5.41,4.68,2.59,5.03,1.69,3.95,4.9,2.8,6.49,2.03,2.42,2.37,5.96,4.25,1.18,0.68,3.27,8.3,1.23,1.14,5.36,2.24,5.5,2.11,1.64,2.51,3.71,2.63,7.27
November,8.34,2.33,1.22,1.77,7.47,3.32,1.65,5.15,6.33,8.7,3.4,1.38,1.94,6.25,0.64,7.69,2.66,1.94,4.01,6.31,8.47,3.92,2.17,7.83,6.64,0.93,2.72,2.6,5.1,6.53
December,2.12,2.72,0.98,9.91,4.42,5.65,2.72,4.5,1.84,2.07,3.3,4.65,2.24,3.07,6.47,5.17,2.4,6.57,1.72,1.76,3.67,2.54,1.35,2.94,4.91,5.24,3,5.53,8.9,2.99
Total,,40,29.51,34.42,41.87,41.57,36.11,33.6,37.43,35.99,33.82,34.65,35.49,34.93,34.71,42.66,35.9,41.48,31.22,40.39,43.57,39.17,30.68,46.25,35.94,,34.54,43.5,35.52,47.43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Jul estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
