IPSWICH (WESTERFIELD PUMPING STATION),,,,,,,,,,,,
Grid ref,TM165482,Long,1.158862,Lat,52.089777,,,,,,,
Station no,1346/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,0.75,1.33,2.16,3.84,1.18,2.35,2.01,2.81,,
February,,,0.77,2.16,2.11,0.72,2.40,2.97,0.16,1.36,,
March,,,0.42,2.35,1.44,0.83,1.48,0.91,1.49,1.54,,
April,,,1.72,0.28,0.14,0.98,0.26,1.00,1.33,0.58,,
May,,,1.77,1.34,2.62,0.87,2.08,2.53,0.25,0.70,,
June,,,3.02,2.07,4.16,1.74,2.60,3.71,1.06,3.20,,
July,,,2.30,2.79,0.16,2.27,2.29,2.12,1.35,2.88,,
August,,,1.69,3.21,3.57,3.26,3.42,3.65,1.01,2.52,,
September,,,1.64,1.09,1.23,2.38,2.57,3.17,0.00,3.58,,
October,,,1.94,1.42,3.87,1.64,1.66,2.42,1.58,5.58,,
November,,,1.23,3.89,0.69,0.52,2.61,0.96,2.14,2.98,,
December,,,0.73,2.10,1.56,1.92,1.97,3.40,3.28,3.41,,
Total,,,17.98,24.03,23.71,20.97,24.52,29.19,15.66,31.14,,
Calc annual,0.00,0.00,17.98,24.03,23.71,20.97,24.52,29.19,15.66,31.14,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
